comment,clean,sentimen,sentiment_indobert,sentiment_indobert_kotor,sentiment_roberta,sentiment_roberta_kotor
"Minimal kasih kejelasan terkait eligible dokumen. Biar antisipasi kedepannya, jangan terkesan menjebak mahasiswa, apalagi diketahuinya pas akhir akhir seleksi. #batch4kacau",minimal kasih kejelasan terkait eligible dokumen biar antisipasi kedepannya jangan terkesan menjebak mahasiswa apalagi diketahuinya pas akhir akhir seleksi batch4kacau,0,1,1,0,0
"Seenggaknya kabari kalau ga lolos, jgn diproses mulu. Kasihan yg udah berjuang dari awal",seenggaknya kabari kalau tidak lolos jangan diproses melulu kasihan yang sudah berjuang dari awal,0,0,0,0,0
"@nadiairn iyaa :"") klo saya udah ga brharap lg",iya kalau saya sudah tidak brharap lagi,1,0,0,0,0
"Yang diproses udah fix ga diterima, semangat ð¢",yang diproses sudah fix tidak diterima semangat,2,0,1,0,0
Di proses = di gosting = Tidak diterima. Oke baiklah ð,di proses di gosting tidak diterima oke baiklah,2,0,0,0,0
"@pradana.du di dunia kerja juga seperti itu, jadi ya sabar2 aja, kalau udah lebih dri 1 atau 2 minggu ga ada kabar ya udah jangan berharap lebih",di dunia kerja juga seperti itu jadi iya sabar2 saja kalau sudah lebih dari atau minggu tidak ada kabar iya sudah jangan berharap lebih,2,0,0,0,0
@nadiairn mari realistis saja kak tidak diterima ð,mari realistis saja kak tidak diterima,2,0,0,0,1
"Min mau tanya, kalo dosen pendamping ga ngisi survey kebhinekaan itu pengaruh nya ke mahasiswa apa ya min? *Siapa aja bantu jawab",min mau tanya kalau dosen pendamping tidak mengisi survey kebhinekaan itu pengaruh nya ke mahasiswa apa iya min siapa saja bantu jawab,1,1,1,1,0
@ramaasj Oke makasih bang ð,oke terima kasih bang,2,2,1,2,2
Yang masih dalam proses seleksi itu sudah tidak harapan untuk lolos ya min?,yang masih dalam proses seleksi itu sudah tidak harapan untuk lolos iya min,1,1,0,1,0
@pradana.du Soalnya tahun ini belum rezeki ð­,soalnya tahun ini belum rezeki,1,0,1,0,1
Saran dong untuk MSIB DAN MITRA kalo emang gak di terima di kasi tau di WEB KAMP MERDEKA NYA jan di proses mulu,saran dong untuk msib dan mitra kalau memang tidak di terima di kasih tahu di web kamp merdeka nya jangan di proses melulu,1,0,0,0,0
Diproses terus ah,diproses terus ah,1,0,0,0,0
"@juaniko_kristianto semester depan gan, skrg udh tutup, sekitaran abis juli",semester depan juragan sekarang sudah tutup sekitaran habis juli,0,1,1,1,1
"Yg masih diproses, fix ga diterima ya? :(",yang masih diproses fix tidak diterima iya,1,1,1,0,0
@juaniko_kristianto bisa,bisa,1,1,1,1,1
Mau nanya min pendaftaran lagi kapan ya dan untuk semester 6 apakah masih boleh mengikuti msib ?,mau bertanya min pendaftaran lagi kapan iya dan untuk semester apakah masih boleh mengikuti msib,1,1,1,1,1
@tamhaikall ga diterima bang,tidak diterima bang,1,0,0,0,0
"Masih di proses, gimana tu?",masih di proses bagaimana itu,1,0,0,0,0
OK SIIIP MIN,ok siiip min,2,2,2,0,0
"Taukah kalian, kalo ngelike komen ga harus klik love nya, tapi bisa klik 2x di komen nya:')",taukah kalian kalau ngelike komen tidak harus klik love nya tapi bisa klik 2x di komen nya,2,1,1,1,1
@ooo_adhe bang lu dh ada kabar lanjutan dri inamikro blom hbs nerima offering??,bang kamu deh ada kabar lanjutan dari inamikro belum habis menerima offering,1,1,1,1,0
@theflymanandtws kita yang selalu salahð,kita yang selalu salah,0,0,2,0,0
"@theresiaaclaudiaa Webnya error kak, saya salah satu yg dapet offering web padahal dr awal udah diinfo berkas reject. Ya pokoknya mereka gapernah salah, kita",webnya error kak saya salah satu yang dapat offering web padahal dari awal sudah diinfo berkas reject iya pokoknya mereka enggak pernah salah kita,1,0,0,0,0
"@ryanh_aldebaran baca kok, tapi gabisa memungkiri juga bahwa in the end of the day, dunia ga serta merta âadilâ dalam konteks semua berhak. oneâs always better than the other di aspek kehidupannya. regardless, semoga ke depannya pihak msib bisa mengevaluasi kesalahannya di batch yang sekarang yang cukup banyak problemnya.",baca kok tapi enggak bisa memungkiri juga bahwa ini the end of the day dunia tidak serta merta adil dalam konteks semua berhak ones always better tahan the other di aspek kehidupannya regardless semoga ke depannya pihak msib bisa mengevaluasi kesalahannya di batch yang sekarang yang cukup banyak problemnya,2,2,2,0,0
@_justdumps_ baca lagi kalimat utamanya mbak,baca lagi kalimat utamanya mbak,2,1,1,2,1
@andir1_ cek ig storynya kak today terakhir konfirmasi tawaran,cek ig storynya kak today terakhir konfirmasi tawaran,1,1,1,1,1
"@ivanrach.12 Alhamdulillah sukses y kak, semangat magang.aðª #makasih udah bls komenku",alhamdulillah sukses iya kak semangat maganga terima kasih sudah balas komenku,2,2,1,2,2
@domani1702 aku keterima kak,aku keterima kak,1,1,1,2,1
"Sebenarnya di kegiatan ini ada yg keterima MSIB gasih, boleh bales komenku ngk, buat mastiin aja kalo acara ini bner2 ada dan kita yg status.a masih diproses sampe sekarang itu emang udah di tolak",sebenarnya di kegiatan ini ada yang keterima msib enggak sih boleh balas komenku tidak buat mastiin saja kalau acara ini benar-benar ada dan kita yang statusa masih diproses sampai sekarang itu memang sudah di tolak,2,0,0,0,0
@audreynaa__ bisanya ikut ini tp dh telat wkwk,bisanya ikut ini tapi deh terlambat wkwk,0,0,1,0,1
"apakah studi independen mendapatkan uang saku? setidaknya untuk beli kuota, karena ternyata banyak pertrmuan sinkronusnya",apakah studi independen mendapatkan uang saku setidaknya untuk beli kuota karena ternyata banyak pertrmuan sinkronusnya,2,1,1,1,1
"min gabisa join zoom nya, masa full participant. emang ga diperkiraan dulu jumlah peserta dan kapasitas zoom nyað¢",min enggak bisa join zoom nya masa full participant memang tidak diperkiraan dulu jumlah peserta dan kapasitas zoom nya,2,1,1,1,0
Yang BGA udah ada yang offering belum??,yang bga sudah ada yang offering belum,1,1,1,1,0
"Terima kasih atas semua tanggapan dr rekan rekan. Sampai detik ini status di kampus merdeka juga masih diproses ,kalo ditanya lgs juga masih diproses, Cuma pihak kampus merdeka ditanya terakhir pengumuman sampe kapan juga tidak dijawab. Sedangkan pihak kampus sendiri hari ini memberikan batas waktu untuk pindah pilihan trackð¥
Mau tidak mau anak sy harus buat pilihan terbaik drpd menunggu yg belum tahu jawabannya. Semangat buat adik adik yg masih berjuang menunggu.Saya doakan yg terbaik buat kalian semua.",terima kasih atas semua tanggapan dari rekan rekan sampai detik ini status di kampus merdeka juga masih diproses kalau ditanya langsung juga masih diproses cuma pihak kampus merdeka ditanya terakhir pengumuman sampai kapan juga tidak dijawab sedangkan pihak kampus sendiri hari ini memberikan batas waktu untuk pindah pilihan trackmau tidak mau anak saya harus buat pilihan terbaik daripada menunggu yang belum tahu jawabannya semangat buat adik adik yang masih berjuang menunggusaya doakan yang terbaik buat kalian semua,2,2,2,0,2
"@agusselvana mudahnya ya mitra sendiri sudah memberikan requirements sebagai âgaris minimalâ masing-masing. tapi, seperti namanya dunia kerja, saudara diadu sama pendaftar yang lain. di lapangan kerja kan juga cv dan kualifikasi yang sesuai belum menjamin keterima kan? karena mungkin anda belum masuk pool âatasâ. mitra jelas akan memilih yang terbaik dari pool di atas garis minimal dan itu sepenuhnya hak dari mitra buat memilih dari kandidat wawancara.",mudahnya iya mitra sendiri sudah memberikan requirements sebagai garis minimal masingmasing tapi seperti namanya dunia kerja saudara diadu sama pendaftar yang lain di lapangan kerja kan juga cv dan kualifikasi yang sesuai belum menjamin keterima kan karena mungkin anda belum masuk pool atas mitra jelas akan memilih yang terbaik dari pool di atas garis minimal dan itu sepenuhnya hak dari mitra buat memilih dari kandidat wawancara,2,0,1,1,0
"@agusselvana @wahyuhari @tutuskusuma be gentle ya pak, dimaklumin kok program baru padahal dah 4 batch wkwkwk. pak tutus malah tag nya ditutup beneran kan kasian klu MSIB mau tag yg ada foto bapak :"") .",be gentle iya pak dimaklumin kok program baru padahal deh batch wkwkwk pak tutus bahkan tag nya ditutup benaran kan kasihan kalau msib mau tag yang ada foto bapak,2,0,0,0,0
"@ghin.aaaaaaa wkwkwk... Baca yg bener mbak,, itu maksud ortu nya status penolakan anaknya setidaknya dipercepat apalagi ada kasus penolakan berkas. belajar lagi TPS mbak, ttg kalimat utama dan kesimpulan tentunya :"").",wkwkwk baca yang benar mbak itu maksud orang tua nya status penolakan anaknya setidaknya dipercepat apalagi ada kasus penolakan berkas belajar lagi tps mbak tentang kalimat utama dan kesimpulan tentunya,0,0,0,0,0
@theresiaaclaudiaa kagaa dapet hahahaha,kagaa dapat hahahaha,2,2,2,2,2
"@angelicaecclesia kalau udh dpt email utk undangan onboarding besok, ktny udh aman",kalau sudah dapat email untuk undangan onboarding besok katanya sudah aman,2,1,1,1,1
Batch kali ini sangat *awokawokawok*,batch kali ini sangat awokawokawok,2,2,2,2,2
"Ini gmna ya status nya masih DIPROSES,  emang statusnya g berubah ya klo emang g lolos?",ini bagaimana iya status nya masih diproses memang statusnya tidak berubah iya kalau memang tidak lolos,1,0,0,1,0
"@ghin.aaaaaaa loh kok anda bisa menyimpulkan bahwa kualifikasi cv nya sudaj sempurna? Yanh melihat cv nya buaknnya para recuiter yah? Nah, kualifikasi cv tersbeut layak apa engganya bukan di tangan kita yang menilai. Walaupun menurut kita hal trsbt sudah sempurna belum tentu di mata recuruiter juga sempurna karena perushaaan atau mitra pubya standarnya masing-masing tiap posisi. Nah untuk pengalaman sendiri gak harus kerja kok daei organisasi atau mahasiswanya aktif bisa dijadikan penhalaman dan untuk yang non pengalaman sendiri ada bnyk mitra yabg tidak begitu mempertimbabgkan hal itu. Ada beberapa mitra yng butuh mahasiwa non pengalaman karena mereka ignin mendevlop skill peserta magang nya oleh pihak mitra nya sendiri... Dan ada bzberapa rekan-rekan saya yg ndak ada pengalaman bisa berkesempatan di program ini. Namun, memang sepettinya pada batch kali ini masih kurangnya sosialisasi dan saya kira regulasinya masih belum sempurna sehinhga patokan untuk keterima tifaknya berdasarkan ke eligible an berkas.",loh kok anda bisa menyimpulkan bahwa kualifikasi cv nya sudaj sempurna yanh melihat cv nya buaknnya para recuiter iya nah kualifikasi cv tersbeut layak apa engganya bukan di tangan kita yang menilai walaupun menurut kita hal trsbt sudah sempurna belum tentu di mata recuruiter juga sempurna karena perushaaan atau mitra pubya standarnya masingmasing tiap posisi nah untuk pengalaman sendiri tidak harus kerja kok daei organisasi atau mahasiswanya aktif bisa dijadikan penhalaman dan untuk yang non pengalaman sendiri ada banyak mitra yabg tidak begitu mempertimbabgkan hal itu ada beberapa mitra yang butuh mahasiwa non pengalaman karena mereka ignin mendevlop skill peserta magang nya oleh pihak mitra nya sendiri dan ada bzberapa rekanrekan saya yang indak ada pengalaman bisa berkesempatan di program ini namun memang sepettinya pada batch kali ini masih kurangnya sosialisasi dan saya kira regulasinya masih belum sempurna sehinhga patokan untuk keterima tifaknya berdasarkan ke eligible an berkas,2,0,0,0,0
@hanana0_ pengen sih kek gitu,pengin sih kayak begitu,1,2,1,0,0
@theresiaaclaudiaa hah jadinya maksudnya bisa ditolak lagi meski ud acc dari web dan masuk grup? apa gmn sih plis ini bikin dagdigdug,hah jadinya maksudnya bisa ditolak lagi meski sudah accord dari web dan masuk grup apa bagaimana sih plis ini bikin dagdigdug,1,0,0,0,0
"@itsmesu19 Kalian infonya dah sampai mana? Udh itu aja makasihhh :))) Semangat buat kita, percaya satu rezeki gak akan kemana. oh iya last, sembari mengetik ini aku barusan bnget dapet notif email jam 20.15 WIB buat besok tanggal 16 ikut National Onboarding bagi peserta MSIB Angkatan 4 lewat zoom. Hmm ada peningkatan. Dahlahh semangattt buatt kitaaaa semuaaa.",kalian infonya deh sampai mana sudah itu saja makasihhh semangat buat kita percaya satu rezeki tidak akan kemana oh iya last sembari mengetik ini aku barusan banget dapat notif email jam wib buat besok tanggal ikut national onboarding bagi peserta msib angkatan lewat zoom hmm ada peningkatan dahlahh semangat buatt kitaaaa semua,1,2,2,2,2
"sedikit cerita, aku lolos magang  di Mitra X. berkas semua Alhamdulillah verified dan aku daftar itu h-3 bahkan h-1 sblm tutup aku masih dftar2in di bbrpa mitra gitu. Aku juga gak nyangka sih bisa lolos karna dari awal gak terlalu niat juga karna waktu ikut PMM 2 kemaren nilai konversi aku sampai skrg blm keluar jga :( makanya niatnya semakin berkurang buat ikut magang. Tapi karna mau coba2 aja makanya aku coba daftar tanpa berharap keterima. Dan bahkan yg lebih kaget lagi aku tuh lolos tapi tanpa ikut test dan wawancara gitu tiba2 aja kayak di email ada notif ""Pendaftaranmu di terima oleh Mitra X"" gitu. Ada yang sama gak sih please komen karna masih gak nyangka/percaya aja aku. Terus aku masuk ke akun MBKM di sistem tinggal pilih gitu mau ""terima"" atau ""tolak"" (klau gak salah, intinya gitulah) tanpa berpikir panjang aku terima aja lah karna kata temen aku ambil aja kan kesempatan daripada dia gak keterima sama sekali. Dan di akun Mbkm bagian ""Kegiatanku"" itu udh ada tertera aku akan magang dimana, dari kapan sampai kapan. Nah cmn itu doang. Sampai sekarang masih gaktau lanjutannya gimana karna aku mau cari info lebih soal ini di medsos terutama di tempat aku di terima itu kurang info gitu jadi aku merasa kayak digantung gitulah karna kan rataÂ² mulai nya tuh tggl 16/02 kan yah hmm atau emg semuanya gitu blm ada info kelanjutan harus gmna. Gak tau ah. Lanjut cerita, sedangkan teman aku yg dari awal udah dftar, udah niat dan berharap juga lolos eh malah berkasnya gak verified kasian sih hm, dan pasti temen2 di sini juga banyak yg seperti itu dari awal udah niat dan bahkan yakin akan lolos karna isi CV kalian yg kerenÂ² dan berkas yg lengkap segala macam. Terus ada juga temen aku dia udh keterima di Mitra X, udh dinyatakan lolos eh tapi berkas ga verified juga. Ada yg sama gak? Jadi inti dari cerita aku ini yah baik kalian yg masih dalam proses maupun yg udh keterima kayak aku contohnya, tapi tetap aja masih ngerasa digantung gitu gak tau selanjutnya harus gimana lagi dan salah nya aku gak masuk group manapun dan gak tau juga groupnya ada apa engga wkwk. Tapi itu kalau di aku yah (Mitra X ini) gak tau kalau di Mitra lain gimana.",sedikit cerita aku lolos magang di mitra kali berkas semua alhamdulillah verified dan aku daftar itu h3 bahkan h1 sebelum tutup aku masih dftar2in di beberapa mitra begitu aku juga tidak menyangka sih bisa lolos karena dari awal tidak terlalu niat juga karena waktu ikut pmm kemarin nilai konversi aku sampai sekarang belum keluar juga makanya niatnya semakin berkurang buat ikut magang tapi karena mau coba2 saja makanya aku coba daftar tanpa berharap keterima dan bahkan yang lebih kaget lagi aku tuh lolos tapi tanpa ikut test dan wawancara begitu tiba-tiba saja kayak di email ada notif pendaftaranmu di terima oleh mitra kali begitu ada yang sama tidak sih please komen karena masih tidak nyangkapercaya saja aku terus aku masuk ke akun mbkm di sistem tinggal pilih begitu mau terima atau tolak kalau tidak salah intinya begitulah tanpa berpikir panjang aku terima saja lah karena kata teman aku ambil saja kan kesempatan daripada dia tidak keterima sama sekali dan di akun mbkm bagian kegiatanku itu sudah ada tertera aku akan magang dimana dari kapan sampai kapan nah cuman itu doang sampai sekarang masih gaktau lanjutannya bagaimana karena aku mau cari informasi lebih soal ini di medsos terutama di tempat aku di terima itu kurang informasi begitu jadi aku merasa kayak digantung begitulah karena kan rata mulai nya tuh tggl kan iya hmm atau memang semuanya begitu belum ada informasi kelanjutan harus bagaimana tidak tahu ah lanjut cerita sedangkan teman aku yang dari awal sudah dftar sudah niat dan berharap juga lolos eh bahkan berkasnya tidak verified kasihan sih hm dan pasti teman-teman di sini juga banyak yang seperti itu dari awal sudah niat dan bahkan yakin akan lolos karena isi cv kalian yang keren dan berkas yang lengkap segala macam terus ada juga teman aku dia sudah keterima di mitra kali sudah dinyatakan lolos eh tapi berkas tidak verified juga ada yang sama tidak jadi inti dari cerita aku ini iya baik kalian yang masih dalam proses maupun yang sudah keterima kayak aku contohnya tapi tetap saja masih merasa digantung begitu tidak tahu selanjutnya harus bagaimana lagi dan salah nya aku tidak masuk group manapun dan tidak tahu juga groupnya ada apa tidak wkwk tapi itu kalau di aku iya mitra kali ini tidak tahu kalau di mitra lain bagaimana,2,0,0,0,0
@lailaqwz_ yahhhh,iya,1,2,1,0,2
@hanana0_ Bisa jadi efek pada cut off karena berkas lalu yg ga seleksi pada naik semua kakð¢,bisa jadi efek pada cut off karena berkas lalu yang tidak seleksi pada naik semua kak,0,1,1,1,1
"@faakersss_ Wah kurang tau bro kalau itu, andai kata temen lu yg berpengalaman ini berkasnya kereject bisa aja ga dilolosin bro, tp kalau berkasnya aman maka hanya mereka yg tauðð»",wah kurang tahu saudara laki-laki kalau itu andai kata teman kamu yang berpengalaman ini berkasnya kereject bisa saja tidak dilolosin saudara laki-laki tapi kalau berkasnya aman maka hanya mereka yang tahu,2,0,0,0,0
@inunkyutttt ga dapat kak,tidak dapat kak,1,0,0,0,0
Terimakasih msib,terimakasih msib,1,2,2,2,2
@lailaqwz_ yg studi independen ga dapet ya kak?,yang studi independen tidak dapat iya kak,1,1,1,1,1
@fzn_almunawar coba suruh temennya chat pic mitranya kak,coba suruh temannya chat pic mitranya kak,1,1,1,1,1
"@inunkyutttt ga dapat uang apapun, baik uang saku ataupun BBH. hanya ilmu dan konversi Mk yang didapat..",tidak dapat uang apapun baik uang saku ataupun bbh hanya ilmu dan konversi maka yang didapat,1,1,0,0,0
"@ali_supardi13 mau nanya kak,kalo studi independen dapet uang saku ga sii?",mau bertanya kakkalo studi independen dapat uang saku tidak sih,1,1,1,1,1
@bhrll2022 ngakak bgtð­ð­,mengakak banget,2,0,2,0,2
@andihayyy_ Citiasia Inc.,citiasia inc,1,1,1,0,1
"@faakersss_  gatau bro sistem selesksinya dibalik layar kaya gimana, bahkan ada temenku yh ga ikut tahapan selesksi sama seklai malah dpt email diterima di salah satu mitra gokil sih wkwk",enggak tau saudara laki-laki sistem selesksinya dibalik layar kayak bagaimana bahkan ada temenku iya tidak ikut tahapan selesksi sama seklai bahkan dapat email diterima di salah satu mitra gila sih wkwk,0,0,2,0,0
@mhmadrizallll mantap semangat broodi,mantap semangat broodi,2,2,2,2,2
"Sedih sebenarnya karena yang diikutkan hanya perguruan tinggi dibawah kemenristekdikti, padahal masih banyak yang memiliki ambisi dan mimpi namun diterima di perguruan tinggi dibawah kementrian lain ingin mengikuti program kampus merdeka tapi tidak bisa ð­ tapi mereka tetaplah mahasiswa yang berjuang di bangku pendidikan. Semoga segera ada solusi untuk mengikutkan kampus benar"" SE INDONESIA",sedih sebenarnya karena yang diikutkan hanya perguruan tinggi dibawah kemenristekdikti padahal masih banyak yang memiliki ambisi dan mimpi namun diterima di perguruan tinggi dibawah kementrian lain ingin mengikuti program kampus merdeka tapi tidak bisa tapi mereka tetaplah mahasiswa yang berjuang di bangku pendidikan semoga segera ada solusi untuk mengikutkan kampus benar se indonesia,2,0,0,0,0
@kiki_ramadhan075 Mitra apa?,mitra apa,1,0,1,2,1
"@ghin.aaaaaaa Terima kasih atas tanggapan anda, Ini kan sy bicara CV dan kualifikasi yg sudah sesuai semua mbak, Jika mrk mau cari yg ipk 4 tulis aja dr awal dipersyaratannya,  jd yg ipk 3.63  spt anak sy jd tdk usah daftar untuk sia sia. Kalo dicari yg pengalaman, namanya juga mau magang, mahasiswa mau cari pengalaman kerja, bukan melamar pekerjaan. Saya juga pernah jd mahasiswa jd tau, gk semua mahasiswa punya pengalaman kerja krn jadwal kuliah yg padat, Oke sekian mungkin uneg uneg saya, Mungkin kampus merdeka  untuk kedepannya bisa sosialisasikan ke mitra agar memberi kesempatan yg sudah sesuai kualifikasi yg mereka tulis un tuk wawancara/ test. Jd tdk ada mahasiswa yg dikecewakan krn menunggu sia sia",terima kasih atas tanggapan anda ini kan saya bicara cv dan kualifikasi yang sudah sesuai semua mbak jika mereka mau cari yang ipk tulis saja dari awal dipersyaratannya jadi yang ipk seperti anak saya jadi tidak perlu daftar untuk sia sia kalau dicari yang pengalaman namanya juga mau magang mahasiswa mau cari pengalaman kerja bukan melamar pekerjaan saya juga pernah jadi mahasiswa jadi tahu tidak semua mahasiswa punya pengalaman kerja karena jadwal kuliah yang padat oke sekian mungkin uneg uneg saya mungkin kampus merdeka untuk kedepannya bisa sosialisasikan ke mitra agar memberi kesempatan yang sudah sesuai kualifikasi yang mereka tulis un untuk wawancara test jadi tidak ada mahasiswa yang dikecewakan karena menunggu sia sia,2,0,0,0,0
"@adhlslsa sama dan dah dapat email dah di jawab ,tapi gak ada kelanjutannya,bingungð¢",sama dan deh dapat email deh di jawab tapi tidak ada kelanjutannyabingung,1,0,1,0,0
@rachel.marla upð¢ ini perlu banget,up ini perlu banget,1,2,1,0,0
@hanana0_ masa temenku gak ada pengalaman organisasi sama sekali bisa lolos dibandingkan temenku yang full part time dan organisasi padahal mereka daftar di tempat yang samað¢,masa temenku tidak ada pengalaman organisasi sama sekali bisa lolos dibandingkan temenku yang full part time dan organisasi padahal mereka daftar di tempat yang sama,2,0,0,0,0
"@andihayyy_ Alhamdulillah sdh, info mobilisasi gelombang pertama tgl 27 Februari - 6 Maret 2023",alhamdulillah sudah informasi mobilisasi gelombang pertama tanggal februari maret,2,1,1,2,1
"Proses aj status nya sampe hri ini, sabar bngt nunggunya. Kalo emang ga lulus kenapa nggak berubah aj Satusnya. Kalo ginikan jadi ngarepð« ",proses saja status nya sampai hari ini sabar banget nunggunya kalau memang tidak lulus kenapa tidak berubah saja satusnya kalau ginikan jadi mengharap,1,0,1,0,0
"@babu_abu_abu seperti biasa gaada kejelasan wkwk, berharap yg terbaik aja soalnya udh jalan sejauh ini",seperti biasa enggak ada kejelasan wkwk berharap yang terbaik saja soalnya sudah jalan sejauh ini,2,0,2,0,0
Sudah ada yg dikasih info mobilisasi sama Mitra nya?,sudah ada yang dikasih informasi mobilisasi sama mitra nya,1,1,1,1,1
Di sni ada yg keterima magang di PT. Ars Indonesia?,di sini ada yang keterima magang di pt ars indonesia,1,1,1,1,1
@farhan.abdulah_ 4 bulan,bulan,1,0,1,0,1
@capybaraonlyd udh ada info kak?,sudah ada informasi kak,1,1,1,1,1
Batch gagal,batch gagal,0,0,0,0,0
@dndaaaws_ buzzer itu yang nyalahin mahasiswa,buzzer itu yang menyalahkan mahasiswa,1,0,0,0,0
@ooo_adhe saya,saya,1,2,0,2,0
"@hanana0_ Bener, misal nih mereka kekeh mau berkas jadi hal krusial minimal dikasih info yang jelas lah yað",benar misal ini mereka kekeh mau berkas jadi hal krusial minimal dikasih informasi yang jelas lah iya,2,1,1,0,1
@kriscokk magang msib biasanya brp lama bang?,magang msib biasanya berapa lama bang,0,1,1,1,1
"@bro.swryz ini seleksi kek percuma gtu (menurut gua), skill sm keahlian kita bukan lah hal yang utama melainkan ke egilible an berkas lah yg menjadi syarat utama, aneh kali ð",ini seleksi kayak percuma begitu menurut saya skill sama keahlian kita bukan lah hal yang utama melainkan ke egilible an berkas lah yang menjadi syarat utama aneh kali,0,0,0,0,0
"@agusselvana yang berhak menentukan mahasiswa dapat kesempatan untuk tes atau wawancara kan mitra, sebagai mitra pasti mereka melakukan seleksi administrasi dulu berupa pengecekan kualifikasi dan cv. Apabila sesuai dengan yang dicari mitra maka akan dilanjutkan ke tahap wawancara. Kalau semuanya diberi kesempatan tes dan wawancara langsung, apa gunanya ada CV dan kualifikasi? Mungkin yang tidak dapat panggilan itu adalah orang yang tidak sesuai kualifikasi atau CVnya kurang menarik dimata recruiter",yang berhak menentukan mahasiswa dapat kesempatan untuk tes atau wawancara kan mitra sebagai mitra pasti mereka melakukan seleksi administrasi dulu berupa pengecekan kualifikasi dan cv apabila sesuai dengan yang dicari mitra maka akan dilanjutkan ke tahap wawancara kalau semuanya diberi kesempatan tes dan wawancara langsung apa gunanya ada cv dan kualifikasi mungkin yang tidak dapat panggilan itu adalah orang yang tidak sesuai kualifikasi atau cvnya kurang menarik dimata recruiter,2,0,0,0,0
"@rizkiagung.id Alhamdulillah sih saingan 0,00001% berkurang haha",alhamdulillah sih saingan berkurang tertawa,1,2,0,2,1
Izin tanya min kalau Di Tertera Ikut MSIB Minimal kan semester 5 Apakah Semester 6 Boleh ikut MSIB Dan Kapan Ada Pendaftaran lagi ?,izin tanya min kalau di tertera ikut msib minimal kan semester apakah semester boleh ikut msib dan kapan ada pendaftaran lagi,0,1,1,1,1
"@babu_abu_abu dari kemarin balas nya itu teruss adminnya, jadu saya terpaksa ambil SI.",dari kemarin balas nya itu terus adminnya jadi saya terpaksa ambil sih,0,0,0,1,0
@ali_supardi13 ada bang batas waktu mah. Ya seenggaknya proses sampe matahari terbit dr barat,ada bang batas waktu mah iya seenggaknya proses sampai matahari terbit dari barat,0,2,1,0,0
"@babu_abu_abu tenang masih ada waktu,, kemarin-kemarin saya cht web nya terus. Katanya sedang proses seleksi sampai batas waktu yang tidak dibatasi.",tenang masih ada waktu kemarinkemarin saya cht web nya terus katanya sedang proses seleksi sampai batas waktu yang tidak dibatasi,2,1,1,0,1
@ali_supardi13 yg penting keterima bang. Banyak dr kami yg nihil,yang penting keterima bang banyak dari kami yang nihil,2,0,1,1,0
"@meyhwaap syp yg nyalahin neneknya pak nadiem soal status pendaftaran? Cuma kecewa aja sih harusnya klo udh punya kandidat yg cukup tpi males reject satu2, mitra disediain sistem tolak otomatis. Pendaftar jg g usah ngrep kelamaan. Lagian banyak mitra yg d depan ngomong 'klo g lolos ttp dikasih email penolakan' nyatanya sampe skrg g ada jg",siapa yang menyalahkan neneknya pak nadiem soal status pendaftaran cuma kecewa saja sih harusnya kalau sudah punya kandidat yang cukup tapi malas reject satu2 mitra disediain sistem tolak otomatis pendaftar juga tidak perlu ngrep kelamaan lagian banyak mitra yang di depan mengomong kalau tidak lolos tetap dikasih email penolakan nyatanya sampai sekarang tidak ada juga,0,0,0,0,0
"Terpaksa mengambil Studi Independen, hanya karena di kejar dengan deadline waktu.. Huft ga ada kejelasan! ð kecewa min kecewa.",terpaksa mengambil studi independen hanya karena di kejar dengan deadline waktu mengeluh tidak ada kejelasan kecewa min kecewa,0,0,0,0,0
"Saya kecewa banget min, ðsuerr kecewa banget sama MSIB 4.",saya kecewa banget min suerr kecewa banget sama msib,0,0,0,0,0
@bro.swryz serasa akun klarifikasi ini wkwkwkwkwð,serasa akun klarifikasi ini wkwkwkwkw,1,0,1,0,0
"@theresiaaclaudiaa sama kak, aku udh offering trs masuk grup mitra, eh katanya ada kabar nunggu keputusan final tgl 15 besok, kan jadi waswas ya berasa dimainin terus",sama kak aku sudah offering terus masuk grup mitra eh katanya ada kabar menunggu keputusan final tanggal besok kan jadi waswas iya berasa dimainin terus,1,1,1,0,0
"@faakersss_ Padahal gua juga ada temen seperjuangan yg ga eligible, kami sama2 udah masuk grup mitra juga dan samaÂ² banding. Eh syukur banding dia berhasil tp gw kagak, walaupun dia lolos tp tetep punya empati karena tau kejadian di lapangan kek gimana. Respek sm orgÂ² yg gitu. Sedih aja sih kalau kita kasih kritik gini malah tambah disudutkan sama mereka yang lolos padahal juga blm tentu kami ini yang ga lolos beneran salah dan ga kompeten secara skillð",padahal saya juga ada teman seperjuangan yang tidak eligible kami sama-sama sudah masuk grup mitra juga dan sama banding eh syukur banding dia berhasil tapi saya tidak walaupun dia lolos tapi tetap punya empati karena tahu kejadian di lapangan kayak bagaimana respek sama orang yang begitu sedih saja sih kalau kita kasih kritik begini bahkan tambah disudutkan sama mereka yang lolos padahal juga belum tentu kami ini yang tidak lolos benaran salah dan tidak kompeten secara skill,1,0,0,0,0
@bro.swryz mungkin dia lolosðmakanya nyantai wkwkwkwkwk,mungkin dia lolosmakanya nyantai wkwkwkwkwk,1,0,1,2,0
@capybaraonlyd  aku yang nanya kak hehehe,aku yang bertanya kak hehehe,1,1,1,1,1
@ooo_adhe ada aku ketrima bg,ada aku diterima bang,1,2,1,1,2
