,comment,clean,sentimen,sentiment_indobert,sentiment_indobert_kotor,sentiment_roberta,sentiment_roberta_kotor
220,"3 posisi BPJS gada kejelasan sama sekali di antaranya staf penata madya, staf analis human capital sama marketing :)",posisi bpjs enggak ada kejelasan sama sekali di antaranya staf penata madya staf analis human capital sama marketing,Netral,Negatif,Netral,neutral,neutral
221,Mau tanya min kalau tempat magangnya gak ada di web kampus merdeka gimana ya?,mau tanya min kalau tempat magangnya tidak ada di web kampus merdeka bagaimana iya,Netral,Netral,Netral,neutral,neutral
222,"Kocak magang nih, minimal taro  TIDAK LOLOS spya tg tra berharap 👎🏻👎🏻👎🏻 @nngs._",kocak magang ini minimal taro tidak lolos spya tg tra berharap,Positif,Negatif,Negatif,negative,negative
223,"@nofgl_16 jangan salah bung, kita ni org2 pilihan. kalau org keluar, kita lari masuk.",jangan salah bung kita ini orang-orang pilihan kalau orang keluar kita lari masuk,Netral,Negatif,Negatif,negative,negative
224,Diproses terossss fix ga keterima,diproses terus fix tidak keterima,Netral,Netral,Negatif,neutral,negative
225,Yang ngak dapat sesi ini tetap semangat utk yang akan datang yah,yang tidak dapat sesi ini tetap semangat untuk yang akan datang iya,Positif,Positif,Positif,neutral,neutral
226,@m_arkhan_f_ iyap harusnya,iya harusnya,Netral,Positif,Netral,negative,neutral
227,Dear @magangmerdeka  bagaimana mengetahui di terima dan gak diterima kalau di ghosting di web mbkm dan juga sama PT perusahaan 🙏🏻 mohon kejelasannya,dear bagaimana mengetahui di terima dan tidak diterima kalau di ghosting di web mbkm dan juga sama pt perusahaan mohon kejelasannya,Netral,Netral,Netral,neutral,neutral
228,"@theorifai makannya saya berharap ada statement resmi dari pihak MSIB terkait ini, disamping ketidakjelasan itu, tidak ada opsi perbaikan dokumen bahkan pengajuan banding dari PTN pun tidak ada tanggapan.",makannya saya berharap ada statement resmi dari pihak msib terkait ini disamping ketidakjelasan itu tidak ada opsi perbaikan dokumen bahkan pengajuan banding dari ptn pun tidak ada tanggapan,Netral,Netral,Netral,negative,negative
229,@nggiiuu yg msh diproses tu artinya ditolak kah?,yang masih diproses itu artinya ditolak kah,Netral,Negatif,Negatif,negative,negative
230,@theorifai acuan benarnya seperti apa? Dokumen yang sama dengan kami pun ada yang lolos. Lantas “yang benar” itu seperti apa?,acuan benarnya seperti apa dokumen yang sama dengan kami pun ada yang lolos lantas yang benar itu seperti apa,Netral,Negatif,Negatif,negative,negative
231,@pradana.du saran buat mahasiswa cobalah mendaftar yang sesuai persyaratan dan ga cuma klik daftar 😂,saran buat mahasiswa cobalah mendaftar yang sesuai persyaratan dan tidak cuma klik daftar,Netral,Netral,Netral,neutral,neutral
232,"Aku yg harus berat hati menolak tawaran di salah satu perusahaan CT corps karena kesehatan dan harus bulak balik RS sampai entah kapan, padahal ini salah satu impian, semoga masih bisa ada kesempatan di MSIB batch 5 aamiin 😭😭😭",aku yang harus berat hati menolak tawaran di salah satu perusahaan ct corps karena kesehatan dan harus bulak balik rs sampai entah kapan padahal ini salah satu impian semoga masih bisa ada kesempatan di msib batch amin,Negatif,Positif,Positif,negative,positive
233,Ku berharap... Tapi boong,ku berharap tapi bohong,Netral,Negatif,Negatif,negative,negative
234,Kesempatan terakhir aku 🥺,kesempatan terakhir aku,Netral,Netral,Netral,neutral,neutral
235,@grc.vic04 gpp kak belajar bahwa ga semua loker yang km daftar bisa menerimamu,enggak apa-apa kak belajar bahwa tidak semua loker yang kamu daftar bisa menerimamu,Positif,Negatif,Netral,negative,neutral
236,Kenapa ga mengubah mainset untuk membuat dokumen dgn benar dan ga asal asalan apply???,kenapa tidak mengubah mainset untuk membuat dokumen dengan benar dan tidak asal asalan apply,Netral,Positif,Netral,negative,negative
237,@adrian_syahhh22 Minyak gan 🙏🏻,minyak juragan,Netral,Positif,Netral,positive,neutral
238,"Pengalamanku yg statusnya di proses biasanya ga linier, cv dan porto ga menarik dan terakhir ga eligible",pengalamanku yang statusnya di proses biasanya tidak linier cv dan porto tidak menarik dan terakhir tidak eligible,Negatif,Negatif,Negatif,negative,negative
239,"Gimana nih min udah dinyatakan lolos lewat web, udah jadi kegiatan aktif, tapi gaada kelanjutan dari mitra, ditanyain eh ternyata ga eligible, kalo emamg ga eligible gausah dinyatakan lolos ajah sekalian",bagaimana ini min sudah dinyatakan lolos lewat web sudah jadi kegiatan aktif tapi enggak ada kelanjutan dari mitra ditanyain eh ternyata tidak eligible kalau emamg tidak eligible enggak usah dinyatakan lolos saja sekalian,Negatif,Negatif,Negatif,negative,negative
240,"Cie ga diterima, cie aku😂",cie tidak diterima cie aku,Netral,Negatif,Negatif,negative,negative
241,"Minimal kasih kejelasan terkait eligible dokumen. Biar antisipasi kedepannya, jangan terkesan menjebak mahasiswa, apalagi diketahuinya pas akhir akhir seleksi. #batch4kacau",minimal kasih kejelasan terkait eligible dokumen biar antisipasi kedepannya jangan terkesan menjebak mahasiswa apalagi diketahuinya pas akhir akhir seleksi batch4kacau,Negatif,Netral,Netral,negative,negative
242,"Seenggaknya kabari kalau ga lolos, jgn diproses mulu. Kasihan yg udah berjuang dari awal",seenggaknya kabari kalau tidak lolos jangan diproses melulu kasihan yang sudah berjuang dari awal,Negatif,Negatif,Negatif,negative,negative
243,"@nadiairn iyaa :"") klo saya udah ga brharap lg",iya kalau saya sudah tidak brharap lagi,Netral,Negatif,Negatif,negative,negative
244,"Yang diproses udah fix ga diterima, semangat 😢",yang diproses sudah fix tidak diterima semangat,Positif,Negatif,Netral,negative,negative
246,Di proses = di gosting = Tidak diterima. Oke baiklah 😌,di proses di gosting tidak diterima oke baiklah,Positif,Negatif,Negatif,negative,negative
247,"@pradana.du di dunia kerja juga seperti itu, jadi ya sabar2 aja, kalau udah lebih dri 1 atau 2 minggu ga ada kabar ya udah jangan berharap lebih",di dunia kerja juga seperti itu jadi iya sabar2 saja kalau sudah lebih dari atau minggu tidak ada kabar iya sudah jangan berharap lebih,Positif,Negatif,Negatif,negative,negative
248,@nadiairn mari realistis saja kak tidak diterima 🙏,mari realistis saja kak tidak diterima,Positif,Negatif,Negatif,negative,neutral
249,"Min mau tanya, kalo dosen pendamping ga ngisi survey kebhinekaan itu pengaruh nya ke mahasiswa apa ya min? *Siapa aja bantu jawab",min mau tanya kalau dosen pendamping tidak mengisi survey kebhinekaan itu pengaruh nya ke mahasiswa apa iya min siapa saja bantu jawab,Netral,Netral,Netral,neutral,negative
250,@ramaasj Oke makasih bang 🙏,oke terima kasih bang,Positif,Positif,Netral,positive,positive
251,Yang masih dalam proses seleksi itu sudah tidak harapan untuk lolos ya min?,yang masih dalam proses seleksi itu sudah tidak harapan untuk lolos iya min,Netral,Netral,Negatif,neutral,negative
252,@pradana.du Soalnya tahun ini belum rezeki 😭,soalnya tahun ini belum rezeki,Netral,Negatif,Netral,negative,neutral
253,Saran dong untuk MSIB DAN MITRA kalo emang gak di terima di kasi tau di WEB KAMP MERDEKA NYA jan di proses mulu,saran dong untuk msib dan mitra kalau memang tidak di terima di kasih tahu di web kamp merdeka nya jangan di proses melulu,Netral,Negatif,Negatif,negative,negative
254,Diproses terus ah,diproses terus ah,Netral,Negatif,Negatif,negative,negative
255,"@juaniko_kristianto semester depan gan, skrg udh tutup, sekitaran abis juli",semester depan juragan sekarang sudah tutup sekitaran habis juli,Negatif,Netral,Netral,neutral,neutral
256,"Yg masih diproses, fix ga diterima ya? :(",yang masih diproses fix tidak diterima iya,Netral,Netral,Netral,negative,negative
257,@juaniko_kristianto bisa,bisa,Netral,Netral,Netral,neutral,neutral
258,Mau nanya min pendaftaran lagi kapan ya dan untuk semester 6 apakah masih boleh mengikuti msib ?,mau bertanya min pendaftaran lagi kapan iya dan untuk semester apakah masih boleh mengikuti msib,Netral,Netral,Netral,neutral,neutral
259,@tamhaikall ga diterima bang,tidak diterima bang,Netral,Negatif,Negatif,negative,negative
260,"Masih di proses, gimana tu?",masih di proses bagaimana itu,Netral,Negatif,Negatif,negative,negative
261,OK SIIIP MIN,ok siiip min,Positif,Positif,Positif,negative,negative
262,"Taukah kalian, kalo ngelike komen ga harus klik love nya, tapi bisa klik 2x di komen nya:')",taukah kalian kalau ngelike komen tidak harus klik love nya tapi bisa klik 2x di komen nya,Positif,Netral,Netral,neutral,neutral
263,@ooo_adhe bang lu dh ada kabar lanjutan dri inamikro blom hbs nerima offering??,bang kamu deh ada kabar lanjutan dari inamikro belum habis menerima offering,Netral,Netral,Netral,neutral,negative
264,@theflymanandtws kita yang selalu salah😂,kita yang selalu salah,Negatif,Negatif,Positif,negative,negative
265,"@theresiaaclaudiaa Webnya error kak, saya salah satu yg dapet offering web padahal dr awal udah diinfo berkas reject. Ya pokoknya mereka gapernah salah, kita",webnya error kak saya salah satu yang dapat offering web padahal dari awal sudah diinfo berkas reject iya pokoknya mereka enggak pernah salah kita,Netral,Negatif,Negatif,negative,negative
266,"@ryanh_aldebaran baca kok, tapi gabisa memungkiri juga bahwa in the end of the day, dunia ga serta merta “adil” dalam konteks semua berhak. one’s always better than the other di aspek kehidupannya. regardless, semoga ke depannya pihak msib bisa mengevaluasi kesalahannya di batch yang sekarang yang cukup banyak problemnya.",baca kok tapi enggak bisa memungkiri juga bahwa ini the end of the day dunia tidak serta merta adil dalam konteks semua berhak ones always better tahan the other di aspek kehidupannya regardless semoga ke depannya pihak msib bisa mengevaluasi kesalahannya di batch yang sekarang yang cukup banyak problemnya,Positif,Positif,Positif,negative,negative
267,@_justdumps_ baca lagi kalimat utamanya mbak,baca lagi kalimat utamanya mbak,Positif,Netral,Netral,positive,neutral
268,@andir1_ cek ig storynya kak today terakhir konfirmasi tawaran,cek ig storynya kak today terakhir konfirmasi tawaran,Netral,Netral,Netral,neutral,neutral
269,"@ivanrach.12 Alhamdulillah sukses y kak, semangat magang.a💪 #makasih udah bls komenku",alhamdulillah sukses iya kak semangat maganga terima kasih sudah balas komenku,Positif,Positif,Netral,positive,positive
270,@domani1702 aku keterima kak,aku keterima kak,Netral,Netral,Netral,positive,neutral
271,"Sebenarnya di kegiatan ini ada yg keterima MSIB gasih, boleh bales komenku ngk, buat mastiin aja kalo acara ini bner2 ada dan kita yg status.a masih diproses sampe sekarang itu emang udah di tolak",sebenarnya di kegiatan ini ada yang keterima msib enggak sih boleh balas komenku tidak buat mastiin saja kalau acara ini benar-benar ada dan kita yang statusa masih diproses sampai sekarang itu memang sudah di tolak,Positif,Negatif,Negatif,negative,negative
272,@audreynaa__ bisanya ikut ini tp dh telat wkwk,bisanya ikut ini tapi deh terlambat wkwk,Negatif,Negatif,Netral,negative,neutral
273,"apakah studi independen mendapatkan uang saku? setidaknya untuk beli kuota, karena ternyata banyak pertrmuan sinkronusnya",apakah studi independen mendapatkan uang saku setidaknya untuk beli kuota karena ternyata banyak pertrmuan sinkronusnya,Positif,Netral,Netral,neutral,neutral
274,"min gabisa join zoom nya, masa full participant. emang ga diperkiraan dulu jumlah peserta dan kapasitas zoom nya😢",min enggak bisa join zoom nya masa full participant memang tidak diperkiraan dulu jumlah peserta dan kapasitas zoom nya,Positif,Netral,Netral,neutral,negative
275,Yang BGA udah ada yang offering belum??,yang bga sudah ada yang offering belum,Netral,Netral,Netral,neutral,negative
276,"Terima kasih atas semua tanggapan dr rekan rekan. Sampai detik ini status di kampus merdeka juga masih diproses ,kalo ditanya lgs juga masih diproses, Cuma pihak kampus merdeka ditanya terakhir pengumuman sampe kapan juga tidak dijawab. Sedangkan pihak kampus sendiri hari ini memberikan batas waktu untuk pindah pilihan track😥
Mau tidak mau anak sy harus buat pilihan terbaik drpd menunggu yg belum tahu jawabannya. Semangat buat adik adik yg masih berjuang menunggu.Saya doakan yg terbaik buat kalian semua.",terima kasih atas semua tanggapan dari rekan rekan sampai detik ini status di kampus merdeka juga masih diproses kalau ditanya langsung juga masih diproses cuma pihak kampus merdeka ditanya terakhir pengumuman sampai kapan juga tidak dijawab sedangkan pihak kampus sendiri hari ini memberikan batas waktu untuk pindah pilihan trackmau tidak mau anak saya harus buat pilihan terbaik daripada menunggu yang belum tahu jawabannya semangat buat adik adik yang masih berjuang menunggusaya doakan yang terbaik buat kalian semua,Positif,Positif,Positif,negative,positive
277,"@agusselvana mudahnya ya mitra sendiri sudah memberikan requirements sebagai ‘garis minimal’ masing-masing. tapi, seperti namanya dunia kerja, saudara diadu sama pendaftar yang lain. di lapangan kerja kan juga cv dan kualifikasi yang sesuai belum menjamin keterima kan? karena mungkin anda belum masuk pool “atas”. mitra jelas akan memilih yang terbaik dari pool di atas garis minimal dan itu sepenuhnya hak dari mitra buat memilih dari kandidat wawancara.",mudahnya iya mitra sendiri sudah memberikan requirements sebagai garis minimal masingmasing tapi seperti namanya dunia kerja saudara diadu sama pendaftar yang lain di lapangan kerja kan juga cv dan kualifikasi yang sesuai belum menjamin keterima kan karena mungkin anda belum masuk pool atas mitra jelas akan memilih yang terbaik dari pool di atas garis minimal dan itu sepenuhnya hak dari mitra buat memilih dari kandidat wawancara,Positif,Negatif,Netral,neutral,negative
278,"@agusselvana @wahyuhari @tutuskusuma be gentle ya pak, dimaklumin kok program baru padahal dah 4 batch wkwkwk. pak tutus malah tag nya ditutup beneran kan kasian klu MSIB mau tag yg ada foto bapak :"") .",be gentle iya pak dimaklumin kok program baru padahal deh batch wkwkwk pak tutus bahkan tag nya ditutup benaran kan kasihan kalau msib mau tag yang ada foto bapak,Positif,Negatif,Negatif,negative,negative
279,"@ghin.aaaaaaa wkwkwk... Baca yg bener mbak,, itu maksud ortu nya status penolakan anaknya setidaknya dipercepat apalagi ada kasus penolakan berkas. belajar lagi TPS mbak, ttg kalimat utama dan kesimpulan tentunya :"").",wkwkwk baca yang benar mbak itu maksud orang tua nya status penolakan anaknya setidaknya dipercepat apalagi ada kasus penolakan berkas belajar lagi tps mbak tentang kalimat utama dan kesimpulan tentunya,Negatif,Negatif,Negatif,negative,negative
280,@theresiaaclaudiaa kagaa dapet hahahaha,kagaa dapat hahahaha,Positif,Positif,Positif,positive,positive
281,"@angelicaecclesia kalau udh dpt email utk undangan onboarding besok, ktny udh aman",kalau sudah dapat email untuk undangan onboarding besok katanya sudah aman,Positif,Netral,Netral,neutral,neutral
282,Batch kali ini sangat *awokawokawok*,batch kali ini sangat awokawokawok,Positif,Positif,Positif,positive,positive
283,"Ini gmna ya status nya masih DIPROSES,  emang statusnya g berubah ya klo emang g lolos?",ini bagaimana iya status nya masih diproses memang statusnya tidak berubah iya kalau memang tidak lolos,Netral,Negatif,Negatif,neutral,negative
284,"@ghin.aaaaaaa loh kok anda bisa menyimpulkan bahwa kualifikasi cv nya sudaj sempurna? Yanh melihat cv nya buaknnya para recuiter yah? Nah, kualifikasi cv tersbeut layak apa engganya bukan di tangan kita yang menilai. Walaupun menurut kita hal trsbt sudah sempurna belum tentu di mata recuruiter juga sempurna karena perushaaan atau mitra pubya standarnya masing-masing tiap posisi. Nah untuk pengalaman sendiri gak harus kerja kok daei organisasi atau mahasiswanya aktif bisa dijadikan penhalaman dan untuk yang non pengalaman sendiri ada bnyk mitra yabg tidak begitu mempertimbabgkan hal itu. Ada beberapa mitra yng butuh mahasiwa non pengalaman karena mereka ignin mendevlop skill peserta magang nya oleh pihak mitra nya sendiri... Dan ada bzberapa rekan-rekan saya yg ndak ada pengalaman bisa berkesempatan di program ini. Namun, memang sepettinya pada batch kali ini masih kurangnya sosialisasi dan saya kira regulasinya masih belum sempurna sehinhga patokan untuk keterima tifaknya berdasarkan ke eligible an berkas.",loh kok anda bisa menyimpulkan bahwa kualifikasi cv nya sudaj sempurna yanh melihat cv nya buaknnya para recuiter iya nah kualifikasi cv tersbeut layak apa engganya bukan di tangan kita yang menilai walaupun menurut kita hal trsbt sudah sempurna belum tentu di mata recuruiter juga sempurna karena perushaaan atau mitra pubya standarnya masingmasing tiap posisi nah untuk pengalaman sendiri tidak harus kerja kok daei organisasi atau mahasiswanya aktif bisa dijadikan penhalaman dan untuk yang non pengalaman sendiri ada banyak mitra yabg tidak begitu mempertimbabgkan hal itu ada beberapa mitra yang butuh mahasiwa non pengalaman karena mereka ignin mendevlop skill peserta magang nya oleh pihak mitra nya sendiri dan ada bzberapa rekanrekan saya yang indak ada pengalaman bisa berkesempatan di program ini namun memang sepettinya pada batch kali ini masih kurangnya sosialisasi dan saya kira regulasinya masih belum sempurna sehinhga patokan untuk keterima tifaknya berdasarkan ke eligible an berkas,Positif,Negatif,Negatif,negative,negative
285,@hanana0_ pengen sih kek gitu,pengin sih kayak begitu,Netral,Positif,Netral,negative,negative
286,@theresiaaclaudiaa hah jadinya maksudnya bisa ditolak lagi meski ud acc dari web dan masuk grup? apa gmn sih plis ini bikin dagdigdug,hah jadinya maksudnya bisa ditolak lagi meski sudah accord dari web dan masuk grup apa bagaimana sih plis ini bikin dagdigdug,Netral,Negatif,Negatif,negative,negative
287,"@itsmesu19 Kalian infonya dah sampai mana? Udh itu aja makasihhh :))) Semangat buat kita, percaya satu rezeki gak akan kemana. oh iya last, sembari mengetik ini aku barusan bnget dapet notif email jam 20.15 WIB buat besok tanggal 16 ikut National Onboarding bagi peserta MSIB Angkatan 4 lewat zoom. Hmm ada peningkatan. Dahlahh semangattt buatt kitaaaa semuaaa.",kalian infonya deh sampai mana sudah itu saja makasihhh semangat buat kita percaya satu rezeki tidak akan kemana oh iya last sembari mengetik ini aku barusan banget dapat notif email jam wib buat besok tanggal ikut national onboarding bagi peserta msib angkatan lewat zoom hmm ada peningkatan dahlahh semangat buatt kitaaaa semua,Netral,Positif,Positif,positive,positive
288,"sedikit cerita, aku lolos magang  di Mitra X. berkas semua Alhamdulillah verified dan aku daftar itu h-3 bahkan h-1 sblm tutup aku masih dftar2in di bbrpa mitra gitu. Aku juga gak nyangka sih bisa lolos karna dari awal gak terlalu niat juga karna waktu ikut PMM 2 kemaren nilai konversi aku sampai skrg blm keluar jga :( makanya niatnya semakin berkurang buat ikut magang. Tapi karna mau coba2 aja makanya aku coba daftar tanpa berharap keterima. Dan bahkan yg lebih kaget lagi aku tuh lolos tapi tanpa ikut test dan wawancara gitu tiba2 aja kayak di email ada notif ""Pendaftaranmu di terima oleh Mitra X"" gitu. Ada yang sama gak sih please komen karna masih gak nyangka/percaya aja aku. Terus aku masuk ke akun MBKM di sistem tinggal pilih gitu mau ""terima"" atau ""tolak"" (klau gak salah, intinya gitulah) tanpa berpikir panjang aku terima aja lah karna kata temen aku ambil aja kan kesempatan daripada dia gak keterima sama sekali. Dan di akun Mbkm bagian ""Kegiatanku"" itu udh ada tertera aku akan magang dimana, dari kapan sampai kapan. Nah cmn itu doang. Sampai sekarang masih gaktau lanjutannya gimana karna aku mau cari info lebih soal ini di medsos terutama di tempat aku di terima itu kurang info gitu jadi aku merasa kayak digantung gitulah karna kan rata² mulai nya tuh tggl 16/02 kan yah hmm atau emg semuanya gitu blm ada info kelanjutan harus gmna. Gak tau ah. Lanjut cerita, sedangkan teman aku yg dari awal udah dftar, udah niat dan berharap juga lolos eh malah berkasnya gak verified kasian sih hm, dan pasti temen2 di sini juga banyak yg seperti itu dari awal udah niat dan bahkan yakin akan lolos karna isi CV kalian yg keren² dan berkas yg lengkap segala macam. Terus ada juga temen aku dia udh keterima di Mitra X, udh dinyatakan lolos eh tapi berkas ga verified juga. Ada yg sama gak? Jadi inti dari cerita aku ini yah baik kalian yg masih dalam proses maupun yg udh keterima kayak aku contohnya, tapi tetap aja masih ngerasa digantung gitu gak tau selanjutnya harus gimana lagi dan salah nya aku gak masuk group manapun dan gak tau juga groupnya ada apa engga wkwk. Tapi itu kalau di aku yah (Mitra X ini) gak tau kalau di Mitra lain gimana.",sedikit cerita aku lolos magang di mitra kali berkas semua alhamdulillah verified dan aku daftar itu h3 bahkan h1 sebelum tutup aku masih dftar2in di beberapa mitra begitu aku juga tidak menyangka sih bisa lolos karena dari awal tidak terlalu niat juga karena waktu ikut pmm kemarin nilai konversi aku sampai sekarang belum keluar juga makanya niatnya semakin berkurang buat ikut magang tapi karena mau coba2 saja makanya aku coba daftar tanpa berharap keterima dan bahkan yang lebih kaget lagi aku tuh lolos tapi tanpa ikut test dan wawancara begitu tiba-tiba saja kayak di email ada notif pendaftaranmu di terima oleh mitra kali begitu ada yang sama tidak sih please komen karena masih tidak nyangkapercaya saja aku terus aku masuk ke akun mbkm di sistem tinggal pilih begitu mau terima atau tolak kalau tidak salah intinya begitulah tanpa berpikir panjang aku terima saja lah karena kata teman aku ambil saja kan kesempatan daripada dia tidak keterima sama sekali dan di akun mbkm bagian kegiatanku itu sudah ada tertera aku akan magang dimana dari kapan sampai kapan nah cuman itu doang sampai sekarang masih gaktau lanjutannya bagaimana karena aku mau cari informasi lebih soal ini di medsos terutama di tempat aku di terima itu kurang informasi begitu jadi aku merasa kayak digantung begitulah karena kan rata mulai nya tuh tggl kan iya hmm atau memang semuanya begitu belum ada informasi kelanjutan harus bagaimana tidak tahu ah lanjut cerita sedangkan teman aku yang dari awal sudah dftar sudah niat dan berharap juga lolos eh bahkan berkasnya tidak verified kasihan sih hm dan pasti teman-teman di sini juga banyak yang seperti itu dari awal sudah niat dan bahkan yakin akan lolos karena isi cv kalian yang keren dan berkas yang lengkap segala macam terus ada juga teman aku dia sudah keterima di mitra kali sudah dinyatakan lolos eh tapi berkas tidak verified juga ada yang sama tidak jadi inti dari cerita aku ini iya baik kalian yang masih dalam proses maupun yang sudah keterima kayak aku contohnya tapi tetap saja masih merasa digantung begitu tidak tahu selanjutnya harus bagaimana lagi dan salah nya aku tidak masuk group manapun dan tidak tahu juga groupnya ada apa tidak wkwk tapi itu kalau di aku iya mitra kali ini tidak tahu kalau di mitra lain bagaimana,Positif,Negatif,Negatif,negative,negative
289,@lailaqwz_ yahhhh,iya,Netral,Positif,Netral,negative,positive
290,@hanana0_ Bisa jadi efek pada cut off karena berkas lalu yg ga seleksi pada naik semua kak😢,bisa jadi efek pada cut off karena berkas lalu yang tidak seleksi pada naik semua kak,Negatif,Netral,Netral,neutral,neutral
291,"@faakersss_ Wah kurang tau bro kalau itu, andai kata temen lu yg berpengalaman ini berkasnya kereject bisa aja ga dilolosin bro, tp kalau berkasnya aman maka hanya mereka yg tau🙏🏻",wah kurang tahu saudara laki-laki kalau itu andai kata teman kamu yang berpengalaman ini berkasnya kereject bisa saja tidak dilolosin saudara laki-laki tapi kalau berkasnya aman maka hanya mereka yang tahu,Positif,Negatif,Negatif,negative,negative
292,@inunkyutttt ga dapat kak,tidak dapat kak,Netral,Negatif,Negatif,negative,negative
293,Terimakasih msib,terimakasih msib,Netral,Positif,Positif,positive,positive
294,@lailaqwz_ yg studi independen ga dapet ya kak?,yang studi independen tidak dapat iya kak,Netral,Netral,Netral,neutral,neutral
295,@fzn_almunawar coba suruh temennya chat pic mitranya kak,coba suruh temannya chat pic mitranya kak,Netral,Netral,Netral,neutral,neutral
296,"@inunkyutttt ga dapat uang apapun, baik uang saku ataupun BBH. hanya ilmu dan konversi Mk yang didapat..",tidak dapat uang apapun baik uang saku ataupun bbh hanya ilmu dan konversi maka yang didapat,Netral,Netral,Negatif,negative,negative
297,"@ali_supardi13 mau nanya kak,kalo studi independen dapet uang saku ga sii?",mau bertanya kakkalo studi independen dapat uang saku tidak sih,Netral,Netral,Netral,neutral,neutral
298,@bhrll2022 ngakak bgt😭😭,mengakak banget,Positif,Negatif,Positif,negative,positive
299,@andihayyy_ Citiasia Inc.,citiasia inc,Netral,Netral,Netral,negative,neutral
300,"@faakersss_  gatau bro sistem selesksinya dibalik layar kaya gimana, bahkan ada temenku yh ga ikut tahapan selesksi sama seklai malah dpt email diterima di salah satu mitra gokil sih wkwk",enggak tau saudara laki-laki sistem selesksinya dibalik layar kayak bagaimana bahkan ada temenku iya tidak ikut tahapan selesksi sama seklai bahkan dapat email diterima di salah satu mitra gila sih wkwk,Negatif,Negatif,Positif,negative,negative
301,@mhmadrizallll mantap semangat broodi,mantap semangat broodi,Positif,Positif,Positif,positive,positive
302,"Sedih sebenarnya karena yang diikutkan hanya perguruan tinggi dibawah kemenristekdikti, padahal masih banyak yang memiliki ambisi dan mimpi namun diterima di perguruan tinggi dibawah kementrian lain ingin mengikuti program kampus merdeka tapi tidak bisa 😭 tapi mereka tetaplah mahasiswa yang berjuang di bangku pendidikan. Semoga segera ada solusi untuk mengikutkan kampus benar"" SE INDONESIA",sedih sebenarnya karena yang diikutkan hanya perguruan tinggi dibawah kemenristekdikti padahal masih banyak yang memiliki ambisi dan mimpi namun diterima di perguruan tinggi dibawah kementrian lain ingin mengikuti program kampus merdeka tapi tidak bisa tapi mereka tetaplah mahasiswa yang berjuang di bangku pendidikan semoga segera ada solusi untuk mengikutkan kampus benar se indonesia,Positif,Negatif,Negatif,negative,negative
303,@kiki_ramadhan075 Mitra apa?,mitra apa,Netral,Negatif,Netral,positive,neutral
304,"@ghin.aaaaaaa Terima kasih atas tanggapan anda, Ini kan sy bicara CV dan kualifikasi yg sudah sesuai semua mbak, Jika mrk mau cari yg ipk 4 tulis aja dr awal dipersyaratannya,  jd yg ipk 3.63  spt anak sy jd tdk usah daftar untuk sia sia. Kalo dicari yg pengalaman, namanya juga mau magang, mahasiswa mau cari pengalaman kerja, bukan melamar pekerjaan. Saya juga pernah jd mahasiswa jd tau, gk semua mahasiswa punya pengalaman kerja krn jadwal kuliah yg padat, Oke sekian mungkin uneg uneg saya, Mungkin kampus merdeka  untuk kedepannya bisa sosialisasikan ke mitra agar memberi kesempatan yg sudah sesuai kualifikasi yg mereka tulis un tuk wawancara/ test. Jd tdk ada mahasiswa yg dikecewakan krn menunggu sia sia",terima kasih atas tanggapan anda ini kan saya bicara cv dan kualifikasi yang sudah sesuai semua mbak jika mereka mau cari yang ipk tulis saja dari awal dipersyaratannya jadi yang ipk seperti anak saya jadi tidak perlu daftar untuk sia sia kalau dicari yang pengalaman namanya juga mau magang mahasiswa mau cari pengalaman kerja bukan melamar pekerjaan saya juga pernah jadi mahasiswa jadi tahu tidak semua mahasiswa punya pengalaman kerja karena jadwal kuliah yang padat oke sekian mungkin uneg uneg saya mungkin kampus merdeka untuk kedepannya bisa sosialisasikan ke mitra agar memberi kesempatan yang sudah sesuai kualifikasi yang mereka tulis un untuk wawancara test jadi tidak ada mahasiswa yang dikecewakan karena menunggu sia sia,Positif,Negatif,Negatif,negative,negative
305,"@adhlslsa sama dan dah dapat email dah di jawab ,tapi gak ada kelanjutannya,bingung😢",sama dan deh dapat email deh di jawab tapi tidak ada kelanjutannyabingung,Netral,Negatif,Netral,negative,negative
306,@rachel.marla up😢 ini perlu banget,up ini perlu banget,Netral,Positif,Netral,negative,negative
307,@hanana0_ masa temenku gak ada pengalaman organisasi sama sekali bisa lolos dibandingkan temenku yang full part time dan organisasi padahal mereka daftar di tempat yang sama😢,masa temenku tidak ada pengalaman organisasi sama sekali bisa lolos dibandingkan temenku yang full part time dan organisasi padahal mereka daftar di tempat yang sama,Positif,Negatif,Negatif,negative,negative
308,"@andihayyy_ Alhamdulillah sdh, info mobilisasi gelombang pertama tgl 27 Februari - 6 Maret 2023",alhamdulillah sudah informasi mobilisasi gelombang pertama tanggal februari maret,Positif,Netral,Netral,positive,neutral
309,"Proses aj status nya sampe hri ini, sabar bngt nunggunya. Kalo emang ga lulus kenapa nggak berubah aj Satusnya. Kalo ginikan jadi ngarep🫠",proses saja status nya sampai hari ini sabar banget nunggunya kalau memang tidak lulus kenapa tidak berubah saja satusnya kalau ginikan jadi mengharap,Netral,Negatif,Netral,negative,negative
310,"@babu_abu_abu seperti biasa gaada kejelasan wkwk, berharap yg terbaik aja soalnya udh jalan sejauh ini",seperti biasa enggak ada kejelasan wkwk berharap yang terbaik saja soalnya sudah jalan sejauh ini,Positif,Negatif,Positif,negative,negative
