comment,clean,label_manual,sentimen,sentiment_indobert,sentiment_indobert_kotor,sentiment_roberta,sentiment_roberta_kotor
"Sedih sebenarnya karena yang diikutkan hanya perguruan tinggi dibawah kemenristekdikti, padahal masih banyak yang memiliki ambisi dan mimpi namun diterima di perguruan tinggi dibawah kementrian lain ingin mengikuti program kampus merdeka tapi tidak bisa - tapi mereka tetaplah mahasiswa yang berjuang di bangku pendidikan. Semoga segera ada solusi untuk mengikutkan kampus benar"" SE INDONESIA",sedih ikut guru bawah kemenristekdikti milik ambisi mimpi terima guru bawah tri ikut program kampus merdeka tetap mahasiswa juang bangku didik moga solusi ikut kampus indonesia,2,Negatif,Negatif,Negatif,neutral,negative
@kiki_ramadhan075 Mitra apa?,mitra,1,Netral,Positif,Netral,positive,neutral
"@ghin.aaaaaaa Terima kasih atas tanggapan anda, Ini kan sy bicara CV dan kualifikasi yg sudah sesuai semua mbak, Jika mrk mau cari yg ipk 4 tulis aja dr awal dipersyaratannya, jd yg ipk 3.63 spt anak sy jd tdk usah daftar untuk sia sia. Kalo dicari yg pengalaman, namanya juga mau magang, mahasiswa mau cari pengalaman kerja, bukan melamar pekerjaan. Saya juga pernah jd mahasiswa jd tau, gk semua mahasiswa punya pengalaman kerja krn jadwal kuliah yg padat, Oke sekian mungkin uneg uneg saya, Mungkin kampus merdeka untuk kedepannya bisa sosialisasikan ke mitra agar memberi kesempatan yg sudah sesuai kualifikasi yg mereka tulis un tuk wawancara/ test. Jd tdk ada mahasiswa yg dikecewakan krn menunggu sia sia",terima kasih tanggap bicara cv kualifikasi sesuai cari ipk tulis syarat ipk anak daftar sia sia cari alam nama magang mahasiswa cari alam kerja lamar kerja mahasiswa mahasiswa alam kerja jadwal kuliah padat oke sekian uneg uneg kampus merdeka depan sosialisasi mitra sempat sesuai kualifikasi tulis un wawancara test mahasiswa kecewa tunggu sia sia,2,Negatif,Negatif,Negatif,negative,negative
"@adhlslsa sama dan dah dapat email dah di jawab ,tapi gak ada kelanjutannya,bingung"",deh email deh kelanjutannyabingung,0,Netral,Netral,Netral,negative,negative",up banget,1,Positif,Positif,Netral,positive,negative
"@hanana0_ masa temenku gak ada pengalaman organisasi sama sekali bisa lolos dibandingkan temenku yang full part time dan organisasi padahal mereka daftar di tempat yang sama""",temenku alam organisasi lolos banding temenku full part time organisasi daftar,0,Positif,Netral,Negatif,neutral,negative
"@andihayyy_ Alhamdulillah sdh, info mobilisasi gelombang pertama tgl 27 Februari - 6 Maret 2023",alhamdulillah informasi mobilisasi gelombang tanggal februari maret,1,Netral,Netral,Netral,positive,neutral
"Proses aj status nya sampe hri ini, sabar bngt nunggunya. Kalo emang ga lulus kenapa nggak berubah aj Satusnya. Kalo ginikan jadi ngarepà",proses status sabar banget nunggunya lulus ubah satusnya ginikan harap,0,Positif,Negatif,Netral,neutral,negative
"@babu_abu_abu seperti biasa gaada kejelasan wkwk, berharap yg terbaik aja soalnya udh jalan sejauh ini",enggak ada jelas wkwk harap baik jalan,0,Positif,Negatif,Positif,negative,negative
Sudah ada yg dikasih info mobilisasi sama Mitra nya?,kasih informasi mobilisasi mitra,1,Netral,Netral,Netral,neutral,neutral
Di sni ada yg keterima magang di PT. Ars Indonesia?,terima magang pt ars indonesia,1,Netral,Netral,Netral,neutral,neutral
@capybaraonlyd udh ada info kak?,informasi,1,Netral,Netral,Netral,positive,neutral
Batch gagal,batch gagal,0,Negatif,Negatif,Negatif,negative,negative
@dndaaaws_ buzzer itu yang nyalahin mahasiswa,buzzer salah mahasiswa,0,Netral,Negatif,Negatif,negative,negative
"@hanana0_ Bener, misal nih mereka kekeh mau berkas jadi hal krusial minimal dikasih info yang jelas lah ya",kekeh berkas krusial minimal kasih informasi,1,Negatif,Netral,Netral,neutral,neutral
@kriscokk magang msib biasanya brp lama bang?,magang msib,1,Netral,Positif,Netral,positive,neutral
"@bro.swryz ini seleksi kek percuma gtu (menurut gua), skill sm keahlian kita bukan lah hal yang utama melainkan ke egilible an berkas lah yg menjadi syarat utama, aneh kali ",seleksi kayak skill ahli utama egilible an berkas syarat utama aneh kali,0,Positif,Negatif,Negatif,negative,negative
"@agusselvana yang berhak menentukan mahasiswa dapat kesempatan untuk tes atau wawancara kan mitra, sebagai mitra pasti mereka melakukan seleksi administrasi dulu berupa pengecekan kualifikasi dan cv. Apabila sesuai dengan yang dicari mitra maka akan dilanjutkan ke tahap wawancara. Kalau semuanya diberi kesempatan tes dan wawancara langsung, apa gunanya ada CV dan kualifikasi? Mungkin yang tidak dapat panggilan itu adalah orang yang tidak sesuai kualifikasi atau CVnya kurang menarik dimata recruiter",hak tentu mahasiswa sempat tes wawancara mitra mitra seleksi administrasi kece kualifikasi cv sesuai cari mitra lanjut tahap wawancara sempat tes wawancara langsung guna cv kualifikasi panggil orang sesuai kualifikasi cvnya tarik mata recruiter,2,Positif,Netral,Negatif,neutral,negative
"@rizkiagung.id Alhamdulillah sih saingan 0,00001% berkurang haha",alhamdulillah saing kurang tertawa,1,Netral,Negatif,Negatif,negative,neutral
Izin tanya min kalau Di Tertera Ikut MSIB Minimal kan semester 5 Apakah Semester 6 Boleh ikut MSIB Dan Kapan Ada Pendaftaran lagi ?,izin tera msib minimal semester semester msib daftar,1,Netral,Netral,Netral,neutral,neutral
"@babu_abu_abu dari kemarin balas nya itu teruss adminnya, jadu saya terpaksa ambil SI.",kemarin balas adminnya paksa ambil,1,Negatif,Negatif,Negatif,neutral,negative
@ali_supardi13 ada bang batas waktu mah. Ya seenggaknya proses sampe matahari terbit dr barat,batas mah enggak proses matahari terbit barat,1,Netral,Negatif,Netral,neutral,negative
"@babu_abu_abu tenang masih ada waktu,, kemarin-kemarin saya cht web nya terus. Katanya sedang proses seleksi sampai batas waktu yang tidak dibatasi.",tenang kemarinkemarin cht web proses seleksi batas batas,1,Positif,Netral,Netral,neutral,neutral
@ali_supardi13 yg penting keterima bang. Banyak dr kami yg nihil,terima nihil,1,Netral,Negatif,Netral,negative,negative
"@meyhwaap syp yg nyalahin neneknya pak nadiem soal status pendaftaran? Cuma kecewa aja sih harusnya klo udh punya kandidat yg cukup tpi males reject satu2, mitra disediain sistem tolak otomatis. Pendaftar jg g usah ngrep kelamaan. Lagian banyak mitra yg d depan ngomong 'klo g lolos ttp dikasih email penolakan' nyatanya sampe skrg g ada jg",salah nenek nadiem status daftar kecewa kandidat malas reject satu2 mitra ain sistem tolak otomatis daftar ngrep mitra omong lolos kasih email tolak,0,Negatif,Negatif,Negatif,negative,negative
"Terpaksa mengambil Studi Independen, hanya karena di kejar dengan deadline waktu.. Huft ga ada kejelasan! L kecewa min kecewa.",paksa ambil studi independen kejar deadline keluh jelas kecewa kecewa,0,Negatif,Negatif,Negatif,negative,negative
"Saya kecewa banget min, Lsuerr kecewa banget sama MSIB 4.",kecewa banget suerr kecewa banget msib,0,Negatif,Negatif,Negatif,negative,negative
@bro.swryz serasa akun klarifikasi ini wkwkwkwkw,serasa akun klarifikasi wkwkwkwkw,1,Netral,Negatif,Netral,neutral,negative
"@theresiaaclaudiaa sama kak, aku udh offering trs masuk grup mitra, eh katanya ada kabar nunggu keputusan final tgl 15 besok, kan jadi waswas ya berasa dimainin terus",offering masuk grup mitra eh kabar tunggu putus final tanggal besok waswas asa dimainin,0,Negatif,Netral,Netral,neutral,negative
"@faakersss_ Padahal gua juga ada temen seperjuangan yg ga eligible, kami sama2 udah masuk grup mitra juga dan sama² banding. Eh syukur banding dia berhasil tp gw kagak, walaupun dia lolos tp tetep punya empati karena tau kejadian di lapangan kek gimana. Respek sm org² yg gitu. Sedih aja sih kalau kita kasih kritik gini malah tambah disudutkan sama mereka yang lolos padahal juga blm tentu kami ini yang ga lolos beneran salah dan ga kompeten secara skill",teman juang eligible masuk grup mitra banding eh syukur banding hasil lolos empati jadi lapang kayak respek orang sedih kasih kritik sudut lolos lolos benar salah kompeten skill,0,Negatif,Negatif,Negatif,positive,negative
@bro.swryz mungkin dia lolosmakanya nyantai wkwkwkwkwk,lolosmakanya nyantai wkwkwkwkwk,1,Netral,Negatif,Netral,positive,negative
@capybaraonlyd aku yang nanya kak hehehe,hehehe,1,Netral,Positif,Netral,positive,neutral
@ooo_adhe ada aku ketrima bg,terima,1,Netral,Positif,Netral,positive,positive
@theresiaaclaudiaa samaa woi berasa lbh ribet magang ketimbang ngelamar kerja,woi asa ribet magang ketimbang lamar kerja,0,Negatif,Negatif,Negatif,negative,negative
"@devsely tetep semangat dev, xoxo siap L%",semangat dev xoxo,1,Netral,Positif,Positif,positive,neutral
"Gua kira yg udh pada terima tawaran, berkasnya udah aman dan eligible. Kenapa tiba tiba beda lagi yak alurnya. Pusing woy.",terima tawar berkas aman eligible beda alur pusing woy,0,Positif,Negatif,Negatif,neutral,negative
"Woi, mo nanya ini kenapa alur kampus merdeka berantakan yak? Denger denger udh pada dapat offering di website, udh klik terima tawaran. Tp ktny yg terima tawaran msh hrs lewatin verifikasi berkas kembali, lah maksudnya gimana. Anda mau php in mahasiswa/i nya? Duh lelah ama kelakuan kalian dari masalah berkas, banding, kemudian kemarin masalah survei kebinekaan, sekarang balik lagi ke masalah berkas. Ini tim nya memang tidak siap atau bgmn? Pengalaman di cycle sebelumnya emgnya seberantakan ini?",woi alur kampus merdeka beranta dengar dengar offering website klik terima tawar terima tawar lewatin verifikasi berkas maksud php mahasiswa aduh lelah laku berkas banding kemarin survei bineka berkas tim alam cycle emgnya beranta,0,Negatif,Negatif,Negatif,neutral,negative
kak izin bertanya saya kan lulus studi independen terus saya gak dapat informasi untuk gabung di grup whatsapp sedangkan teman saya sudah bergabung?,izin lulus studi independen informasi gabung grup whatsapp teman gabung,1,Netral,Netral,Netral,neutral,neutral
Bintang 1,bintang,1,Netral,Positif,Positif,positive,positive
"@yourfavseeker iya cuman kecewa aja """,cuman kecewa,0,Negatif,Negatif,Negatif,negative,negative
@kezyameystika_ ini kakak biasanya berhubungan sama mitra lewat apa kak? email/wa? mungkin bisa difollow up langsung aja tanyain grupnya,hubung mitra emailwa difollow up langsung grup,1,Netral,Netral,Netral,neutral,neutral
@agusselvana ibarat kata mah lempar batu sembunyi tangan,mah lempar batu sembunyi tangan,0,Netral,Negatif,Negatif,negative,neutral
"Kepada pengurus kampus merdeka, Apakah betul pengumuman diterima / tidaknya itu terakhir tgl 15 Feb 2023?. Setidaknya pihak penyelenggara memberikan tanggapan/ jawaban kepada mahasiswa yg sudah melamar magang, jangan mereka digantung dgn status diproses. ",urus kampus merdeka umum terima tidak tanggal feb selenggara tanggap mahasiswa lamar magang gantung status proses seleksi mitra kriteria mahasiswa mahasiswa protes panggil wawancarawalau surat lengkap penuh syarat survey kebhinekaan daftar sempat wawancara layak orang test daftar sempat tunjuk mampu tentu lolos sistem panggil adil daftar sia nyiakan terang magang anak lewat sempat lulus semester moga kecewa tanggap urus kampus merdeka,0,Positif,Negatif,Negatif,negative,negative
"@justin_heilen @magangmerdeka Saran saya bagi tim msib buat batch 5 gaperlu pake website cukup google form dan konfirmasi lewat whatsapp saja. Evaluasi taun ini sistemnya banyak yg miss. Bahkan yg udah reject aja masih bisa dapet offering, ketika dikonfirmasi justru menyalahkan mitra. Harusnya peran sistem di sini sebagai decision making peserta bisa lolos atau tidak bukannya digantung seperti ini. Mungkin masukkan saya bisa dipertimbangkan untuk kembal8 memakai google form saja agar setara dengan bisnis jualan makanan saya yang baru merintisOû",saran tim msib batch gaperlu pakai website google form konfirmasi whatsapp evaluasi sistem miss reject offering konfirmasi salah mitra peran sistem decision making serta lolos gantung masuk timbang kembal8 pakai google form tara bisnis jual makan rintis,2,Netral,Netral,Negatif,neutral,negative
"Kak izin bertanya, kalau ikut Studi independen kan tidak mendapatkan insentif/dana dr pemerintah, jadi bagi mahasiswa KIP-K yg ikut Studi Independen apakah uang KIP akan tetap cair?",izin studi independen insentifdana perintah mahasiswa kipk studi independen uang kip cair,1,Netral,Netral,Netral,neutral,neutral
@bhrll2022 kakk urusan status pendaftaran dari daftar > proses > diterima > tidak lolos itu yang bisa mengubah itu hanya mitra/tim recruiter dan bukan urusan kampus merdekanya. Denger-denger status yg masih proses smpe sekarang dan gak diganti tidak lolos itu karena emang dari mitranya yng males buat pencetin tidak lolos itu karena saking banyaknya yg daftar jadi di biarin aja. Sebelumnya aku pernah liat kok di tiktok ada orang yang emang gak lolos di salah satu mitra dan tulisannya tidak lolos jadi itu tergantung si mitranya aja yg mau ubah statusnya apa gak. Makasihh,urus status daftar daftar proses terima lolos ubah mitratim recruiter urus kampus merdeka dengerdenger status proses ganti lolos mitra malas pencetin lolos saking banyak daftar biar lihat tiktok orang lolos salah mitra tulis lolos gantung mitra ubah status makasihh,2,Positif,Negatif,Negatif,neutral,negative
@meyhwaap baik kak terimakasih,terimakasih,1,Netral,Positif,Netral,positive,positive
@rachel.marla kakk urusan status pendaftaran dari proses > diterima > tidak lolos itu yang bisa mengubah itu hanya mitranya dan bukan urusan kampus merdekanya. Denger-denger status yg masih proses smpe sekarang dan gak diganti tidak lolos itu karena emang dari mitranya yng males buat pencetin tidak lolos itu karena saking banyaknya yg daftar jadi di biarin aja. Sebelumnya aku pernah liat kok di tiktok ada orang yang emang gak lolos di salah satu mitra dan tulisannya tidak lolos jadi itu tergantung si mitranya aja yg mau ubah statusnya apa gak. Makasihh,urus status daftar proses terima lolos ubah mitra urus kampus merdeka dengerdenger status proses ganti lolos mitra malas pencetin lolos saking banyak daftar biar lihat tiktok orang lolos salah mitra tulis lolos gantung mitra ubah status makasihh,2,Positif,Negatif,Negatif,neutral,negative
@julius_trbb99 kakk urusan status pendaftaran dari proses > diterima > tidak lolos itu yang bisa mengubah itu hanya mitranya dan bukan urusan kamlus merdekanya. Denger-denger status yg masih proses smpe sekarang dan gak diganti tidak lolos itu karena emang dari mitranya yng males buat pencetun/apptove tidak lolos iyu karena saking banyaknya yg daftar jadi di biarin aja. Sebelumnya aku pernah liat kok di tiktok ada orang yang emang gak lolos dan tulisannya tidak lolos jadi itu tergantung si mitranya aja yg mau ubah statusnya apa gak. Makasihh,urus status daftar proses terima lolos ubah mitra urus kamlus merdeka dengerdenger status proses ganti lolos mitra malas pencetunapptove lolos iyu saking banyak daftar biar lihat tiktok orang lolos tulis lolos gantung mitra ubah status makasihh,2,Positif,Negatif,Negatif,neutral,negative
"@kezyameystika_ maaf bgt kak. Klo ini salah di mitranya bukan di kampus merdekanya. Untuk informasi invite group itukan urusan personal perusahaan, kampus merdekanya cuma sebagai penghubung aja. Coba kakak hubungin hrdnya terkait informasi lanjutannya deh.",maaf banget salah mitra kampus merdeka informasi invite group itu urus personal usaha kampus merdeka hubung coba hubungin hrdnya kait informasi lanjut deh,2,Negatif,Netral,Netral,neutral,negative
@mhmzakkir.id dari kampus merdekanya dikasih kesempatan 2kali,kampus merdeka kasih sempat 2kali,1,Netral,Netral,Netral,neutral,neutral
"@weyguh yup i thinkn so,, ya semoga ya H-1 bisa ada tanda2 yg baikOý",i thinkn sok moga h1 tanda2,1,Negatif,Negatif,Netral,negative,positive
"@bhrll2022 selama sapi blm bertelor, masih diproses kak",sapi telor proses,1,Negatif,Netral,Netral,negative,neutral
"@sonofspider Kebiasaan menormalisasi kesalahan, mencari pembenaran dr kesalahan orang lain. Sering bgt tipe orang kayak gini ditemui di masyarakat. Kalau ditegur malah cari kesalahan orang lain karena merasa ga terima",biasa normalisasi salah cari benar salah orang banget tipe orang kayak temu masyarakat tegur cari salah orang terima,0,Negatif,Negatif,Negatif,negative,negative
udah berharap bngt lolos malah sr rejected y,harap banget lolos sr rejected,0,Positif,Netral,Negatif,negative,negative
@yourfavseeker gaada tahapan seleksi berkas di akhir,enggak ada tahap seleksi berkas,1,Netral,Negatif,Netral,neutral,neutral
"@yunpnzr mental macam apa ini. Kesalahannya jelas di pihak panitia, malah nyalahin mental peserta buat siap2 ntar dunis kerja lebih parah. Bukannya nyalahin yg salah malah ke peserta. Bahkan ada UNJ aja ga dapet sosialisasi dri msib sampe2 seluruh mahasiswanya gaada yg bisa daftar",mental salah panitia salah mental serta siap2 entar dunis kerja parah salah salah serta unj sosialisasi msib sampe2 mahasiswa enggak ada daftar,0,Negatif,Negatif,Negatif,negative,negative
@dekara.ninsa wkwkwkwk.... Ternyata beneran butuh ke psikolog at least belajar TPS,wkwkwkwk benar butuh psikolog at least ajar tps,1,Negatif,Negatif,Netral,negative,negative
Disitu saya karang merasa sedih .. digantung tanpa kepastian.. gimana buat panitia penyelenggara gak ada informasi yg jelas,situ karang sedih gantung pasti panitia selenggara informasi,0,Negatif,Negatif,Negatif,negative,negative
@ryanh_aldebaran lah gw cuma ngomongin tmn gw doang wkkwkw. Buset lgsg bawa bawa psikolog ngakak bgt dah ,omong teman doang wkkwkw buset langsung bawa bawa psikolog akak banget deh,2,Netral,Negatif,Negatif,negative,negative
@justin_heilen @magangmerdeka Bukan kesalahan dari mahasiswanya! Mereka hanya memohon sptmj dan surat rekomendasi dari kampus masing-masing. Bahkan saya turut mencantumkan barcode dan cap resmi dari kampus saya. Namun tidak ada konfirmasi apa apa dari kampus merdeka jika memang sptmj dan surat rekomendasinya rejected! BANYAK KORBANNYA,salah mahasiswa mohon sptmj surat rekomendasi kampus masingmasing cantum barcode cap resmi kampus konfirmasi kampus merdeka sptmj surat rekomendasi rejected korban,0,Netral,Netral,Negatif,neutral,negative
@justin_heilen @magangmerdeka Itu buat kami menunggu dan buat kami membuang2 waktu kami. Anda tau tidak kami berjuang sebulanan cuman buat nunggu hasil sampai kami ke rumah sakit utk minta surat keterangan sehat dan lain lain?. Tapi kenyataannya kami pada akhirnya tetap akan ditolak hanya karena kami tidak akan tahu jika berkas kami tidak eligible kalau tidak dari sistem hacking coding yang beredar di telegram. At least hubungi or konfirmasi ulang or update di sistem dari awal jika memang berkas kami ga eligible! Jadi kita gaperlu menunggu dan membuang2 waktu sampai sebulanan! Banyak kasus yang seperti ini! Akibat dari sistem anda yang bobrok menulis DIPROSES or MASIH DALAM SELEKSI padahal jelas2 mahasiswa tersebut tidak akan diterima akibat berkas yang tidak eligible tadi! Tapi tidak ada konfirmasinya sama sekali kalau bukan karena kita yang cari2 cara untuk coding!!!. Banyak tau ga yang kita korbankan cuman demi menunggu hasil seleksi namun ternyata ditipu by sistem yg bilang status kita dalam seleksi pdhl udh jelas2 rejected by sistem!,tunggu membuang2 juang bulan cuman tunggu hasil rumah sakit surat terang sehat nyata tolak berkas eligible sistem hacking coding edar telegram at least hubung orang konfirmasi ulang orang update sistem berkas eligible gaperlu tunggu membuang2 bulan akibat sistem bobrok tulis proses orang seleksi jelas mahasiswa terima akibat berkas eligible konfirmasi cari coding korban cuman tunggu hasil seleksi tipu by sistem bilang status seleksi jelas rejected by sistem,0,Positif,Negatif,Negatif,negative,negative
Dear kampus merdeka yang terhormat.,dear kampus merdeka terhormattolong sistem baik status giat proses melulu email mitra lolos berkas pas cek by sistem informasi coding sistem telegram rejected sptmj surat rekomendasi pantesan email offering email reject mitra status giat proses seakan2 proses seleksi tulis proses seleksi maksud teman offering by email orang reject by mitra status langsung terupdate status kegiatankunya sebab berkas eligible tolong diberitahukan mahasiswa tulis proses orang proses seleksi tolak berkas eligible,0,Positif,Netral,Negatif,neutral,negative
Yg masih dalam status di proses apakah sudah pasti tidak lolos ya kk? Soalnya masih bingung status di proses ini apakah harus ikut kegiatan national onboarding ini atau ngga,status proses lolos bingung status proses giat national onboarding,1,Negatif,Negatif,Netral,neutral,negative
@rizkiagung.id gk ada yg rugi kalo ente gk ikut btw,rugi ente ngomong-ngomong,0,Netral,Negatif,Netral,positive,neutral
"@sonofspider semua penting, jangan anggap remeh setiap tahapan",anggap remeh tahap,0,Netral,Negatif,Netral,negative,neutral
@devsely tetap semangat% walaupun kita tidak lolos tenang yang penting kita udah berusaha mencoba sampai di titik akhir.,semangat lolos tenang usaha coba titik,2,Positif,Positif,Netral,positive,neutral
@mokhasxh terbaik lanjutkan brash moga betah di Makassar,baik lanjut brash moga betah makassar,1,Negatif,Positif,Positif,positive,positive
"Katanya mau meningkatkan kualitas pendidikan, masalah yg macem berkas & simulasi ujian aja banyak kendala.... Terus sistem pemilihan ga jelas banget mana ga ada admin yg nanggepin pertanyaan lebih mending CS tokped responsif, harusnya kalo inj diawal2 dikasih tau di SnK tentang jumlah kuota lah...percuma juga si komen di lapak sini, sulit di kontrol semoga hari mu me..............",tingkat kualitas didik berkas simulasi uji kendala sistem pilih banget admin tanggap lebih baik cs tokped responsif inj diawal2 kasih snk kuota lahpercuma komen lapak sulit kontrol moga mu me,0,Positif,Negatif,Negatif,neutral,negative
"@julius_trbb99 percuma bro, dari sekian banyak komentar, mimin nya tidak turun tangan menanggapi curhatan kita kita semua",saudara laki sekian komentar admin turun tangan tanggap curhatan,0,Netral,Netral,Negatif,neutral,negative
"@weyguh iya benar sekali kawan, harusnya panitia atau tim pelaksana bisa memperhatikan hal iniOý",kawan panitia tim laksana perhati,2,Netral,Netral,Netral,neutral,negative
"Cung yang tiap hari nge cek platform MSIB sama email hingga sekarang ga ada kabar""",cung nge cek platform msib email kabar,0,Netral,Netral,Netral,neutral,negative
"Sabar ya gaes, ini masih tanggal 14 dan masih ada kesempatan ditanggal 15 sebelum tanggal 16 program dimulai L",sabar gaes tanggal sempat tanggal tanggal program,1,Netral,Positif,Netral,neutral,positive
"@julius_trbb99 setuju sihh, kalo diproses mulu kita kita yang berharap ini jadi serba salah, ada yg bilang gagal, ada yg bilang tunggu aja.",tuju proses melulu harap serba salah bilang gagal bilang tunggu,0,Negatif,Negatif,Negatif,negative,negative
"@samsul.arf21 bener banget, yang bisa rubah status tuh mitranya",banget rubah status tuh mitra,1,Positif,Negatif,Netral,negative,negative
"@rachel.marla protes ke mitranya, yang bisa ubah tuh mitra xoxo",protes mitra ubah tuh mitra xoxo,1,Netral,Negatif,Negatif,negative,negative
@devsely innallaha maashobirin yaa Ld,innallaha maashobirin,1,Netral,Positif,Netral,positive,positive
"@rasberryyeu_ di youtube kemarin aku ketemu kak, cari saja",youtube kemarin ketemu cari,1,Netral,Netral,Netral,neutral,neutral
"tolong untuk kedepan bagi yg sudah pernah mengikuti magang kampus merdeka tidak bisa ikut lagi, soalnya banyak temen-temen yg belum magang jadi ga lewat!!!",tolong depan ikut magang kampus merdeka tementemen magang,0,Netral,Netral,Negatif,neutral,negative
@bro.swryz yauda terima aja gausa koar2 disni,yauda terima enggak usah koar2,0,Netral,Negatif,Netral,neutral,negative
"@dekara.ninsa yee mbak.... Mencoba generalisasi kasus temen anda. Hati2 tanda2 distorsi kognitif butuh ke psikolog. Lihat kasus temen lain, argumen lain, tuntutan yang lain. See this as a whole.",coba generalisasi teman hati tanda2 distorsi kognitif butuh psikolog lihat teman argumen tuntut this as a whole,0,Positif,Negatif,Negatif,negative,negative
@azizmario_ gmn kita tau berkas itu eligible sm gak nya?,berkas eligible,1,Netral,Positif,Netral,positive,neutral
"@bro.swryz oh, sama kyk info beredar. Harus lapor kampus",oh kayak informasi edar lapor kampus,1,Netral,Negatif,Netral,neutral,negative
"@babu_abu_abu udah terakhir tanggal 27 bro lewat pic kampus""",tanggal saudara laki pic kampus,1,Netral,Negatif,Netral,neutral,negative
@anggafii_ tapi banyak yg offering tgl 13 loh. Gmn ga bingung kita,offering tanggal loh bingung,0,Negatif,Negatif,Netral,negative,negative
@bro.swryz kalo banding carany gmn bang?,banding carany,1,Netral,Negatif,Netral,neutral,negative
untuk mahasiswa disabilitas kok agak sulit ya,mahasiswa disabilitas sulit,0,Negatif,Negatif,Negatif,negative,negative
@zaki_na iih kesell brooooo wkwkwkw,ih kesell brooooo wkwkwkw,0,Netral,Negatif,Negatif,negative,negative
@bro.swryz udh bro gausah tanggepin tu orang,saudara laki enggak usah tanggepin orang,1,Netral,Negatif,Negatif,negative,negative
"@nyepammyy_ nggak kak,tapi aku udah offering cuman belum ada invite group sama sekali makanya aku nanya.Takut ketinggalan info.",kaktapi offering cuman invite group nanyatakut tinggal informasi,1,Positif,Netral,Negatif,neutral,negative
@kezyameystika_ Ditjen perumahan udah ada kabar ka?,ditjen rumah kabar,1,Positif,Netral,Netral,neutral,neutral
@yunpnzr Gue alumni magang batch 2p bahkann batch 1 gua juga hunter dan hampir lolos di stupen cuma waktu itu dikonfirmasi status semester gue masih kurang:) Jd gua paham banget seleksi msib itu gimana dan harusnya orang² yg konsul ke gue. Menurut batch ini cenderung regres. Karena sosialisasinya kurang. Baca aja di twitter pakai hastag #RegulasiCacatMSIB4 udah dijelasin kronologinya kek mana. Kita juga paham dan ga ngasal protes karena kalau ga ada bukti sama aja omong kosong. Saya kasih tau ya mas. Status keluar tgl 30 itu yg mengeluarkan sistem bukan kampus. Jd proses seleksi ini ga ada hubungannya sama kampus. Semoga kamu paham dan jangan sesekali menormalisasi kesalahan lain untuk menjadi pembenaran atas kesalahan lainnya.,alumni magang batch bahkann batch hunter lolos stupen konfirmasi status semester paham banget seleksi msib orang konsultasi batch cenderung regres sosialisasi baca twitter pakai hastag regulasicacatmsib4 dijelasin kronologi kayak paham ngasal protes bukti omong kosong kasih status tanggal keluar sistem kampus proses seleksi hubung kampus moga paham normalisasi salah benar salah,0,Negatif,Negatif,Negatif,negative,negative
@rozindarrr ditjen perumahan sulawesi tenggara,ditjen rumah sulawesi tenggara,1,Positif,Netral,Netral,neutral,neutral
@kezyameystika_ mitra apa?,mitra,1,Netral,Positif,Netral,positive,neutral
"@bro.swryz lu reject berkas tapi offering? Gue nemu bug di sistem seleksi ini. Setau gue offering yang menentukan mitra, sedangkan berkas itu urusan tim MSIB. Kemungkinan nanti di pertengahan program lu bakal nemu masalah itupun kalo tim MSIB tegas buat nyuruh mitra cancel keikutsertaan mahasiswa yang berkasnya rejected. Klo urusan banding, dalam seleksi berkas itu yang ngecek bukan AI/bot tapi manusia (ini kalo CPNS). Jadi masalah mistake itu wajar, barangkali mata mereka sliwer jadi kita sebagai mahasiswa ya harus jeli sendiri klo ternyata ada salah dalam seleksi ya kita harus rajin follow up ke penyelenggara. Kalo masalah revisi berkas yang baru keluar di tanggal 30 Januari pdhl tanggal 27 Januari udah gak bisa direvisi ya itu urusan mahasiswa sama kampus, tim gak peduli sama kasus ini. Klo urusan info banding yang gak tersosialisasi dengan baik, kenapa peserta sebelumnya gak cari tau & bertanya waktu sosialisasi MSIB? Seinget gue dari pihak MSIB maupun kampus juga ngadain sosialisasi MSIB deh. Trus rajin tanya ke alumni MSIB di kampus masing-masing prosesnya gimana, fiturnya apa aja. Walaupun tahapannya beda tapi kan tetep ada namanya surbin, sr, sptjm, dll. Bagi gue program ini masih baru jadi masih banyak bug. Jangankan ini, CPNS aja sering bermasalah kok tahapannya",reject berkas offering nemu bug sistem seleksi tau offering tentu mitra berkas urus tim msib tengah program nemu itu tim msib nyuruh mitra cancel keikutsertaan mahasiswa berkas rejected urus banding seleksi berkas ecek aibot manusia cpns mistake wajar barangkali mata sliwer mahasiswa jeli salah seleksi rajin follow up selenggara revisi berkas tanggal januari tanggal januari revisi urus mahasiswa kampus tim peduli urus informasi banding sosialisasi serta cari sosialisasi msib seinget msib kampus ada sosialisasi msib deh rajin alumni msib kampus masingmasing proses fiturnya tahap beda nama surbin sr sptjm dan lain program bug cpns masalah tahap,0,Negatif,Negatif,Negatif,neutral,negative
"Bagi tips kak tahun depan saya coba, yang lulus bagi tips dong",tips coba lulus tips,1,Netral,Netral,Netral,neutral,neutral
disini ada yang udh diterima magang KAKA MENTOR INAmikro?,terima magang mentor inamikro,1,Netral,Netral,Netral,positive,neutral
@bro.swryz udh bro gausah ditanggepin orang itu... Biar dia pada statemennya,saudara laki enggak usah ditanggepin orang biar statemennya,1,Netral,Negatif,Negatif,negative,negative
