,comment,clean
321,"@agusselvana yang berhak menentukan mahasiswa dapat kesempatan untuk tes atau wawancara kan mitra, sebagai mitra pasti mereka melakukan seleksi administrasi dulu berupa pengecekan kualifikasi dan cv. Apabila sesuai dengan yang dicari mitra maka akan dilanjutkan ke tahap wawancara. Kalau semuanya diberi kesempatan tes dan wawancara langsung, apa gunanya ada CV dan kualifikasi? Mungkin yang tidak dapat panggilan itu adalah orang yang tidak sesuai kualifikasi atau CVnya kurang menarik dimata recruiter",hak tentu mahasiswa sempat tes wawancara mitra mitra seleksi administrasi kece kualifikasi cv sesuai cari mitra lanjut tahap wawancara sempat tes wawancara langsung guna cv kualifikasi panggil orang sesuai kualifikasi cvnya tarik mata recruiter
322,"@rizkiagung.id Alhamdulillah sih saingan 0,00001% berkurang haha",alhamdulillah saing kurang tertawa
323,Izin tanya min kalau Di Tertera Ikut MSIB Minimal kan semester 5 Apakah Semester 6 Boleh ikut MSIB Dan Kapan Ada Pendaftaran lagi ?,izin tera msib minimal semester semester msib daftar
324,"@babu_abu_abu dari kemarin balas nya itu teruss adminnya, jadu saya terpaksa ambil SI.",kemarin balas adminnya paksa ambil
325,@ali_supardi13 ada bang batas waktu mah. Ya seenggaknya proses sampe matahari terbit dr barat,batas mah enggak proses matahari terbit barat
326,"@babu_abu_abu tenang masih ada waktu,, kemarin-kemarin saya cht web nya terus. Katanya sedang proses seleksi sampai batas waktu yang tidak dibatasi.",tenang kemarinkemarin cht web proses seleksi batas batas
327,@ali_supardi13 yg penting keterima bang. Banyak dr kami yg nihil,terima nihil
328,"@meyhwaap syp yg nyalahin neneknya pak nadiem soal status pendaftaran? Cuma kecewa aja sih harusnya klo udh punya kandidat yg cukup tpi males reject satu2, mitra disediain sistem tolak otomatis. Pendaftar jg g usah ngrep kelamaan. Lagian banyak mitra yg d depan ngomong 'klo g lolos ttp dikasih email penolakan' nyatanya sampe skrg g ada jg",salah nenek nadiem status daftar kecewa kandidat malas reject satu2 mitra ain sistem tolak otomatis daftar ngrep mitra omong lolos kasih email tolak
329,"Terpaksa mengambil Studi Independen, hanya karena di kejar dengan deadline waktu.. Huft ga ada kejelasan! 🙌 kecewa min kecewa.",paksa ambil studi independen kejar deadline keluh jelas kecewa kecewa
330,"Saya kecewa banget min, 🙌suerr kecewa banget sama MSIB 4.",kecewa banget suerr kecewa banget msib
331,@bro.swryz serasa akun klarifikasi ini wkwkwkwkw😂,serasa akun klarifikasi wkwkwkwkw
332,"@theresiaaclaudiaa sama kak, aku udh offering trs masuk grup mitra, eh katanya ada kabar nunggu keputusan final tgl 15 besok, kan jadi waswas ya berasa dimainin terus",offering masuk grup mitra eh kabar tunggu putus final tanggal besok waswas asa dimainin
333,"@faakersss_ Padahal gua juga ada temen seperjuangan yg ga eligible, kami sama2 udah masuk grup mitra juga dan sama² banding. Eh syukur banding dia berhasil tp gw kagak, walaupun dia lolos tp tetep punya empati karena tau kejadian di lapangan kek gimana. Respek sm org² yg gitu. Sedih aja sih kalau kita kasih kritik gini malah tambah disudutkan sama mereka yang lolos padahal juga blm tentu kami ini yang ga lolos beneran salah dan ga kompeten secara skill😂",teman juang eligible masuk grup mitra banding eh syukur banding hasil lolos empati jadi lapang kayak respek orang sedih kasih kritik sudut lolos lolos benar salah kompeten skill
334,@bro.swryz mungkin dia lolos😂makanya nyantai wkwkwkwkwk,lolosmakanya nyantai wkwkwkwkwk
335,@capybaraonlyd  aku yang nanya kak hehehe,hehehe
336,@ooo_adhe ada aku ketrima bg,terima
337,@theresiaaclaudiaa samaa woi berasa lbh ribet magang ketimbang ngelamar kerja,woi asa ribet magang ketimbang lamar kerja
338,"@devsely tetep semangat dev, xoxo siap 🙌🔥",semangat dev xoxo
339,"Gua kira yg udh pada terima tawaran, berkasnya udah aman dan eligible. Kenapa tiba tiba beda lagi yak alurnya. Pusing woy.",terima tawar berkas aman eligible beda alur pusing woy
340,"Woi, mo nanya ini kenapa alur kampus merdeka berantakan yak? Denger denger udh pada dapat offering di website, udh klik terima tawaran. Tp ktny yg terima tawaran msh hrs lewatin verifikasi berkas kembali, lah maksudnya gimana. Anda mau php in mahasiswa/i nya? Duh lelah ama kelakuan kalian dari masalah berkas, banding, kemudian kemarin masalah survei kebinekaan, sekarang balik lagi ke masalah berkas. Ini tim nya memang tidak siap atau bgmn? Pengalaman di cycle sebelumnya emgnya seberantakan ini?",woi alur kampus merdeka beranta dengar dengar offering website klik terima tawar terima tawar lewatin verifikasi berkas maksud php mahasiswa aduh lelah laku berkas banding kemarin survei bineka berkas tim alam cycle emgnya beranta
341,kak izin bertanya saya kan lulus studi independen terus saya gak dapat informasi untuk gabung di grup whatsapp sedangkan teman saya sudah bergabung?,izin lulus studi independen informasi gabung grup whatsapp teman gabung
342,Bintang 1,bintang
343,@yourfavseeker iya cuman kecewa aja 😢,cuman kecewa
344,@kezyameystika_ ini kakak biasanya berhubungan sama mitra lewat apa kak? email/wa? mungkin bisa difollow up langsung aja tanyain grupnya,hubung mitra emailwa difollow up langsung grup
345,@agusselvana ibarat kata mah lempar batu sembunyi tangan,mah lempar batu sembunyi tangan
346,"Kepada pengurus kampus merdeka, Apakah betul pengumuman diterima / tidaknya itu terakhir tgl 15 Feb 2023?. Setidaknya pihak penyelenggara memberikan tanggapan/ jawaban  kepada mahasiswa yg sudah melamar magang, jangan mereka digantung dgn status diproses. 
Sebetulnya seleksinya mitra itu dgn melihat kriteria mahasiswa yg bgmn ? kok masih byk mahasiswa yg protes tdk ada panggilan wawancara..Walau surat sudah lengkap,  sudah memenuhi syarat, sudah ikut survey kebhinekaan, harusnya semua yg terdaftar setidaknya semua diberi kesempatan untuk wawancara, layaknya org ikut test ,semua yg terdaftar diberi kesempatan menunjukan kemampuannya. Baru kemudian ditentukan siapa yg lolos. 
Kalo sistemnya seperti ini, ada yg dipanggil dan ada yg tidak sama sekali , hal ini jelas jelas tdk ada keadilan, buat apa daftar dan menyia nyiakan waktu. Terus terang demi untuk ikut magang ini ,anak saya melewatkan kesempatan lulus 7 semester. Semoga kekecewaan kami ini dapat tanggapan dr pengurus Kampus merdeka.",urus kampus merdeka umum terima tidak tanggal feb selenggara tanggap mahasiswa lamar magang gantung status proses seleksi mitra kriteria mahasiswa mahasiswa protes panggil wawancarawalau surat lengkap penuh syarat survey kebhinekaan daftar sempat wawancara layak orang test daftar sempat tunjuk mampu tentu lolos sistem panggil adil daftar sia nyiakan terang magang anak lewat sempat lulus semester moga kecewa tanggap urus kampus merdeka
347,"gua udah pengalaman ngurus berpulih2 bahkan ratusan client dr luar negeri sampe ke agensi besar sebagai music director, music producer, apalah bebas lu mau sebut bebas yg penting berkaitan sm music production.
daftar program magang sebagai music director yg requirementsnya bikin gua pede lolos, tapi semenjak daftar dighosting doang hahaha (rata2 magang begini kt tmn gue).
gua daftar studi indenpenden dan alhamdulillah keterima, jdnya ya ngambil studi indenpenden.
tapi kecewa aja sama mitra2 magang, dighosting kaga jelas semua.",alam urus berpulih2 ratus client negeri agens music director music producer apa bebas bebas kait music productiondaftar program magang music director requirementsnya bikin percaya diri lolos semenjak daftar dighosting doang hahaha rata magang teman guegua daftar studi indenpenden alhamdulillah terima jdnya ambil studi indenpendentapi kecewa mitra2 magang dighosting
348,"@justin_heilen @magangmerdeka Saran saya bagi tim msib buat batch 5 gaperlu pake website cukup google form dan konfirmasi lewat whatsapp saja. Evaluasi taun ini sistemnya banyak yg miss. Bahkan yg udah reject aja masih bisa dapet offering, ketika dikonfirmasi justru menyalahkan mitra. Harusnya peran sistem di sini sebagai decision making peserta bisa lolos atau tidak bukannya digantung seperti ini. Mungkin masukkan saya bisa dipertimbangkan untuk kembal8 memakai google form saja agar setara dengan bisnis jualan makanan saya yang baru merintis🙏🏻",saran tim msib batch gaperlu pakai website google form konfirmasi whatsapp evaluasi sistem miss reject offering konfirmasi salah mitra peran sistem decision making serta lolos gantung masuk timbang kembal8 pakai google form tara bisnis jual makan rintis
349,"Kak izin bertanya, kalau ikut Studi independen kan tidak mendapatkan insentif/dana dr pemerintah, jadi bagi mahasiswa KIP-K yg ikut Studi Independen apakah uang KIP akan tetap cair?",izin studi independen insentifdana perintah mahasiswa kipk studi independen uang kip cair
350,@bhrll2022  kakk urusan status pendaftaran dari daftar > proses > diterima > tidak lolos itu yang bisa mengubah itu hanya mitra/tim recruiter dan bukan urusan kampus merdekanya. Denger-denger status yg masih “proses” smpe sekarang dan gak diganti “tidak lolos” itu karena emang dari mitranya yng males buat pencetin “tidak lolos” itu karena saking banyaknya yg daftar jadi di biarin aja. Sebelumnya aku pernah liat kok di tiktok ada orang yang emang gak lolos di salah satu mitra dan tulisannya “tidak lolos” jadi itu tergantung si mitranya aja yg mau ubah statusnya apa gak. Makasihh,urus status daftar daftar proses terima lolos ubah mitratim recruiter urus kampus merdeka dengerdenger status proses ganti lolos mitra malas pencetin lolos saking banyak daftar biar lihat tiktok orang lolos salah mitra tulis lolos gantung mitra ubah status makasihh
351,@meyhwaap  baik kak terimakasih,terimakasih
352,@rachel.marla  kakk urusan status pendaftaran dari proses > diterima > tidak lolos itu yang bisa mengubah itu hanya mitranya dan bukan urusan kampus merdekanya. Denger-denger status yg masih “proses” smpe sekarang dan gak diganti “tidak lolos” itu karena emang dari mitranya yng males buat pencetin “tidak lolos” itu karena saking banyaknya yg daftar jadi di biarin aja. Sebelumnya aku pernah liat kok di tiktok ada orang yang emang gak lolos di salah satu mitra dan tulisannya “tidak lolos” jadi itu tergantung si mitranya aja yg mau ubah statusnya apa gak. Makasihh,urus status daftar proses terima lolos ubah mitra urus kampus merdeka dengerdenger status proses ganti lolos mitra malas pencetin lolos saking banyak daftar biar lihat tiktok orang lolos salah mitra tulis lolos gantung mitra ubah status makasihh
353,@julius_trbb99 kakk urusan status pendaftaran dari proses > diterima > tidak lolos itu yang bisa mengubah itu hanya mitranya dan bukan urusan kamlus merdekanya. Denger-denger status yg masih “proses” smpe sekarang dan gak diganti “tidak lolos” itu karena emang dari mitranya yng males buat pencetun/apptove “tidak lolos” iyu karena saking banyaknya yg daftar jadi di biarin aja. Sebelumnya aku pernah liat kok di tiktok ada orang yang emang gak lolos dan tulisannya “tidak lolos” jadi itu tergantung si mitranya aja yg mau ubah statusnya apa gak. Makasihh,urus status daftar proses terima lolos ubah mitra urus kamlus merdeka dengerdenger status proses ganti lolos mitra malas pencetunapptove lolos iyu saking banyak daftar biar lihat tiktok orang lolos tulis lolos gantung mitra ubah status makasihh
354,"@kezyameystika_ maaf bgt kak. Klo ini salah di mitranya bukan di kampus merdekanya. Untuk informasi invite group itukan urusan personal perusahaan, kampus merdekanya cuma sebagai penghubung aja. Coba kakak hubungin hrdnya terkait informasi lanjutannya deh.",maaf banget salah mitra kampus merdeka informasi invite group itu urus personal usaha kampus merdeka hubung coba hubungin hrdnya kait informasi lanjut deh
355,@mhmzakkir.id dari kampus merdekanya dikasih kesempatan 2kali,kampus merdeka kasih sempat 2kali
356,@_safnaas,
357,"@weyguh yup i thinkn so,, ya semoga ya H-1 bisa ada tanda2 yg baik😅🙏🏽",i thinkn sok moga h1 tanda2
358,"@bhrll2022 selama sapi blm bertelor, masih diproses kak",sapi telor proses
359,"@sonofspider Kebiasaan menormalisasi kesalahan, mencari pembenaran dr kesalahan orang lain. Sering bgt tipe orang kayak gini ditemui di masyarakat. Kalau ditegur malah cari kesalahan orang lain karena merasa ga terima",biasa normalisasi salah cari benar salah orang banget tipe orang kayak temu masyarakat tegur cari salah orang terima
360,udah berharap bngt lolos malah sr rejected 🥹,harap banget lolos sr rejected
361,@yourfavseeker gaada tahapan seleksi berkas di akhir,enggak ada tahap seleksi berkas
362,"@yunpnzr mental macam apa ini. Kesalahannya jelas di pihak panitia, malah nyalahin mental peserta buat siap2 ntar dunis kerja lebih parah. Bukannya nyalahin yg salah malah ke peserta. Bahkan ada UNJ aja ga dapet sosialisasi dri msib sampe2 seluruh mahasiswanya gaada yg bisa daftar😂",mental salah panitia salah mental serta siap2 entar dunis kerja parah salah salah serta unj sosialisasi msib sampe2 mahasiswa enggak ada daftar
363,@dekara.ninsa wkwkwkwk.... Ternyata beneran butuh ke psikolog at least belajar TPS,wkwkwkwk benar butuh psikolog at least ajar tps
364,Disitu saya karang merasa sedih .. digantung tanpa kepastian.. gimana buat panitia penyelenggara gak ada informasi yg jelas,situ karang sedih gantung pasti panitia selenggara informasi
365,@ryanh_aldebaran lah gw cuma ngomongin tmn gw doang wkkwkw. Buset lgsg bawa bawa psikolog ngakak bgt dah 😂😂,omong teman doang wkkwkw buset langsung bawa bawa psikolog akak banget deh
366,@justin_heilen @magangmerdeka Bukan kesalahan dari mahasiswanya! Mereka hanya memohon sptmj dan surat rekomendasi dari kampus masing-masing. Bahkan saya turut mencantumkan barcode dan cap resmi dari kampus saya. Namun tidak ada konfirmasi apa apa dari kampus merdeka jika memang sptmj dan surat rekomendasinya rejected! BANYAK KORBANNYA,salah mahasiswa mohon sptmj surat rekomendasi kampus masingmasing cantum barcode cap resmi kampus konfirmasi kampus merdeka sptmj surat rekomendasi rejected korban
367,@justin_heilen @magangmerdeka Itu buat kami menunggu dan buat kami membuang2 waktu kami. Anda tau tidak kami berjuang sebulanan cuman buat nunggu hasil sampai kami ke rumah sakit utk minta surat keterangan sehat dan lain lain?. Tapi kenyataannya kami pada akhirnya tetap akan ditolak hanya karena kami tidak akan tahu jika berkas kami tidak eligible kalau tidak dari sistem hacking coding yang beredar di telegram. At least hubungi or konfirmasi ulang or update di sistem dari awal jika memang berkas kami ga eligible! Jadi kita gaperlu menunggu dan membuang2 waktu sampai sebulanan! Banyak kasus yang seperti ini! Akibat dari sistem anda yang bobrok menulis “DIPROSES” or “MASIH DALAM SELEKSI” padahal jelas2 mahasiswa tersebut tidak akan diterima akibat berkas yang tidak eligible tadi! Tapi tidak ada konfirmasinya sama sekali kalau bukan karena kita yang cari2 cara untuk coding!!!. Banyak tau ga yang kita korbankan cuman demi menunggu hasil seleksi namun ternyata ditipu by sistem yg bilang status kita dalam seleksi pdhl udh jelas2 rejected by sistem!,tunggu membuang2 juang bulan cuman tunggu hasil rumah sakit surat terang sehat nyata tolak berkas eligible sistem hacking coding edar telegram at least hubung orang konfirmasi ulang orang update sistem berkas eligible gaperlu tunggu membuang2 bulan akibat sistem bobrok tulis proses orang seleksi jelas mahasiswa terima akibat berkas eligible konfirmasi cari coding korban cuman tunggu hasil seleksi tipu by sistem bilang status seleksi jelas rejected by sistem
368,"Dear kampus merdeka yang terhormat.
Tolong ya sistemnya diperbaiki. Masa status di kegiatanku masih diproses mulu dan dapet email dari mitra kalau lolos berkas. Tapi pas di cek by sistem (dapet info cara coding sistem dari telegram) itu rejected sptmj dan surat rekomendasinya. Pantesan ya saya udah dapet email offering dan email reject dari mitra tapi status di kegiatanku masih “diproses” seakan2 kita masih dalam proses seleksi dengan tulisan “kamu masih dalam proses seleksi” maksudnya apa ya? Teman2 saya jika dapet offering by email or reject by mitra itu statusnya langsung terupdate di status kegiatankunya. Nah kalau memang penyebabnya karena berkas tidak eligible tolong dong diberitahukan ke mahasiswanya. Jangan di tulis “diproses” or “masih dalam proses seleksi” kalau emang dari awal aja kita udh jelas jelas pasti ketolak karena berkas yang ga eligible tadi.",dear kampus merdeka terhormattolong sistem baik status giat proses melulu email mitra lolos berkas pas cek by sistem informasi coding sistem telegram rejected sptmj surat rekomendasi pantesan email offering email reject mitra status giat proses seakan2 proses seleksi tulis proses seleksi maksud teman offering by email orang reject by mitra status langsung terupdate status kegiatankunya sebab berkas eligible tolong diberitahukan mahasiswa tulis proses orang proses seleksi tolak berkas eligible
369,Yg masih dalam status di proses apakah sudah pasti tidak lolos ya kk? Soalnya masih bingung status di proses ini apakah harus ikut kegiatan national onboarding ini atau ngga,status proses lolos bingung status proses giat national onboarding
370,@rizkiagung.id gk ada yg rugi kalo ente gk ikut btw😂,rugi ente ngomong-ngomong
371,"@sonofspider semua penting, jangan anggap remeh setiap tahapan",anggap remeh tahap
372,@devsely tetap semangat🔥 walaupun kita tidak lolos tenang yang penting kita  udah berusaha mencoba sampai di titik akhir.,semangat lolos tenang usaha coba titik
373,@mokhasxh terbaik lanjutkan brash moga betah di Makassar,baik lanjut brash moga betah makassar
374,"Katanya mau meningkatkan kualitas pendidikan, masalah yg macem berkas & simulasi ujian aja banyak kendala.... Terus sistem pemilihan ga jelas banget mana ga ada admin yg nanggepin pertanyaan lebih mending CS tokped responsif, harusnya kalo inj diawal2 dikasih tau di SnK tentang jumlah kuota lah...percuma juga si komen di lapak sini, sulit di kontrol semoga hari mu me..............",tingkat kualitas didik berkas simulasi uji kendala sistem pilih banget admin tanggap lebih baik cs tokped responsif inj diawal2 kasih snk kuota lahpercuma komen lapak sulit kontrol moga mu me
375,"@julius_trbb99 percuma bro, dari sekian banyak komentar, mimin nya tidak turun tangan menanggapi curhatan kita kita semua😂",saudara laki sekian komentar admin turun tangan tanggap curhatan
376,"@weyguh iya benar sekali kawan, harusnya panitia atau tim pelaksana bisa memperhatikan hal ini🙏🏽",kawan panitia tim laksana perhati
377,Cung yang tiap hari nge cek platform MSIB sama email hingga sekarang ga ada kabar😢,cung nge cek platform msib email kabar
378,"Sabar ya gaes, ini masih tanggal 14 dan masih ada kesempatan ditanggal 15 sebelum tanggal 16 program dimulai 🙌",sabar gaes tanggal sempat tanggal tanggal program
379,"@julius_trbb99 setuju sihh, kalo diproses mulu kita kita yang berharap ini jadi serba salah, ada yg bilang gagal, ada yg bilang tunggu aja.",tuju proses melulu harap serba salah bilang gagal bilang tunggu
380,"@samsul.arf21 bener banget,  yang bisa rubah status tuh mitranya",banget rubah status tuh mitra
381,"@rachel.marla protes ke mitranya, yang bisa ubah tuh mitra xoxo",protes mitra ubah tuh mitra xoxo
382,@devsely innallaha maashobirin yaa 🙌❤️,innallaha maashobirin
383,"@rasberryyeu_ di youtube kemarin aku ketemu kak, cari saja",youtube kemarin ketemu cari
384,"tolong untuk kedepan bagi yg sudah pernah mengikuti magang kampus merdeka tidak bisa ikut lagi, soalnya banyak temen-temen yg belum magang jadi ga lewat!!!",tolong depan ikut magang kampus merdeka tementemen magang
385,@bro.swryz yauda terima aja gausa koar2 disni,yauda terima enggak usah koar2
386,"@dekara.ninsa yee mbak.... Mencoba generalisasi kasus temen anda. Hati2 tanda2 distorsi kognitif butuh ke psikolog. Lihat kasus temen lain, argumen lain, tuntutan yang lain. See this as a whole.",coba generalisasi teman hati tanda2 distorsi kognitif butuh psikolog lihat teman argumen tuntut this as a whole
387,@azizmario_ gmn kita tau berkas itu eligible sm gak nya?,berkas eligible
388,"@bro.swryz oh, sama kyk info beredar. Harus lapor kampus",oh kayak informasi edar lapor kampus
389,@babu_abu_abu udah terakhir tanggal 27 bro lewat pic kampus😢,tanggal saudara laki pic kampus
390,@anggafii_ tapi banyak yg offering tgl 13 loh. Gmn ga bingung kita,offering tanggal loh bingung
391,@bro.swryz kalo banding carany gmn bang?,banding carany
392,untuk mahasiswa disabilitas kok agak sulit ya,mahasiswa disabilitas sulit
393,@zaki_na iih kesell brooooo wkwkwkw,ih kesell brooooo wkwkwkw
394,@bro.swryz udh bro gausah tanggepin tu orang😂,saudara laki enggak usah tanggepin orang
395,@hotwedangjahe 😂,
396,@bro.swryz 👏👏,
397,"@nyepammyy_ nggak kak,tapi aku udah offering cuman belum ada invite group sama sekali  makanya aku nanya.Takut ketinggalan info.",kaktapi offering cuman invite group nanyatakut tinggal informasi
398,@kezyameystika_ Ditjen perumahan udah ada kabar ka?,ditjen rumah kabar
399,"@bro.swryz sukses dah buat abang. Semoga bisa dpt yang lebih baik. Karena ya mau gmana ya... Ya abang tau sendiri deh ya yang namanya ""instansi penguasa""",sukses deh abang moga abang deh nama instansi kuasa
400,@yunpnzr Gue alumni magang batch 2🥰 bahkann batch 1 gua juga hunter dan hampir lolos di stupen cuma waktu itu dikonfirmasi status semester gue masih kurang:) Jd gua paham banget seleksi msib itu gimana dan harusnya orang² yg konsul ke gue. Menurut batch ini cenderung regres. Karena sosialisasinya kurang. Baca aja di twitter pakai hastag #RegulasiCacatMSIB4 udah dijelasin kronologinya kek mana. Kita juga paham dan ga ngasal protes karena kalau ga ada bukti sama aja omong kosong. Saya kasih tau ya mas. Status keluar tgl 30 itu yg mengeluarkan sistem bukan kampus. Jd proses seleksi ini ga ada hubungannya sama kampus. Semoga kamu paham dan jangan sesekali menormalisasi kesalahan lain untuk menjadi pembenaran atas kesalahan lainnya.,alumni magang batch bahkann batch hunter lolos stupen konfirmasi status semester paham banget seleksi msib orang konsultasi batch cenderung regres sosialisasi baca twitter pakai hastag regulasicacatmsib4 dijelasin kronologi kayak paham ngasal protes bukti omong kosong kasih status tanggal keluar sistem kampus proses seleksi hubung kampus moga paham normalisasi salah benar salah
401,@rozindarrr ditjen perumahan sulawesi tenggara,ditjen rumah sulawesi tenggara
402,NT,
403,@kezyameystika_ mitra apa?,mitra
404,"@bro.swryz lu reject berkas tapi offering? Gue nemu bug di sistem seleksi ini. Setau gue offering yang menentukan mitra, sedangkan berkas itu urusan tim MSIB. Kemungkinan nanti di pertengahan program lu bakal nemu masalah itupun kalo tim MSIB tegas buat nyuruh mitra cancel keikutsertaan mahasiswa yang berkasnya rejected. Klo urusan banding, dalam seleksi berkas itu yang ngecek bukan AI/bot tapi manusia (ini kalo CPNS). Jadi masalah mistake itu wajar, barangkali mata mereka sliwer jadi kita sebagai mahasiswa ya harus jeli sendiri klo ternyata ada salah dalam seleksi ya kita harus rajin follow up ke penyelenggara. Kalo masalah revisi berkas yang baru keluar di tanggal 30 Januari pdhl tanggal 27 Januari udah gak bisa direvisi ya itu urusan mahasiswa sama kampus, tim gak peduli sama kasus ini. Klo urusan info banding yang gak tersosialisasi dengan baik, kenapa peserta sebelumnya gak cari tau & bertanya waktu sosialisasi MSIB? Seinget gue dari pihak MSIB maupun kampus juga ngadain sosialisasi MSIB deh. Trus rajin tanya ke alumni MSIB di kampus masing-masing prosesnya gimana, fiturnya apa aja. Walaupun tahapannya beda tapi kan tetep ada namanya surbin, sr, sptjm, dll. Bagi gue program ini masih baru jadi masih banyak bug. Jangankan ini, CPNS aja sering bermasalah kok tahapannya",reject berkas offering nemu bug sistem seleksi tau offering tentu mitra berkas urus tim msib tengah program nemu itu tim msib nyuruh mitra cancel keikutsertaan mahasiswa berkas rejected urus banding seleksi berkas ecek aibot manusia cpns mistake wajar barangkali mata sliwer mahasiswa jeli salah seleksi rajin follow up selenggara revisi berkas tanggal januari tanggal januari revisi urus mahasiswa kampus tim peduli urus informasi banding sosialisasi serta cari sosialisasi msib seinget msib kampus ada sosialisasi msib deh rajin alumni msib kampus masingmasing proses fiturnya tahap beda nama surbin sr sptjm dan lain program bug cpns masalah tahap
405,"Bagi tips kak tahun depan saya coba, yang lulus bagi tips dong",tips coba lulus tips
406,disini ada yang udh diterima magang KAKA MENTOR INAmikro?,terima magang mentor inamikro
407,@bro.swryz udh bro gausah ditanggepin orang itu... Biar dia pada statemennya,saudara laki enggak usah ditanggepin orang biar statemennya
408,@nanasealfayeed gue udah reject aja masih dapet offering ketrima😂,reject offering terima
409,Yng udah offering diweb tetapi dbatalin gjadi offering gara2 berkas gak eliglibe cung👆😵,offering diweb dbatalin gjadi offering gara-gara berkas eliglibe cung
410,"@yunpnzr Hadeh, udah dijelasin masih aja denial. Poinnya adalah kita menuntut keadilan soal seleksi berkas ini. Ada peserta yang awalnya direject lalu banding. Banding itu bukan revisi tapi recheck berkas karena merasa ga ada salah. Dan beberapa dari mereka khususnya di mitra gue ada 7 orang yang lolos banding. Logikanya brati berkas mereka yang tadinya dianggep salah itu seharusnya bener setelah didechek sama tim verifikasi msib. Sampai sini paham? Tapi kondisi di lapangan info banding ini tidak dideliver dengan baik dan ga semua peserta bisa ngajuin banding. Itu poinnya kenapa pada protes.",hadeh dijelasin denial poin tuntut adil seleksi berkas serta direject banding banding revisi recheck berkas salah mitra orang lolos banding logika brati berkas dianggep salah didechek tim verifikasi msib paham kondisi lapang informasi banding dideliver serta aju banding poin protes
411,"Alhamdulillah, semoga dilancarkan untuk kita semua hingga graduation nanti 🙌🏻",alhamdulillah moga lancar graduation
412,@kickdom_ lah kok bisa,
413,"@yunpnzr Lah kok balik tanya, hubungannya kampus sama proses seleksi berkas apaan? Jawab dulu. Malah meleber ke yang lain",hubung kampus proses seleksi berkas leber
414,"@bro.swryz dan apalagi yang gak ikut interview dan test apa2 tau2 di website keterima, lebih lawak si hahahah",interview test apa tau website terima lawak hahahah
415,"Dahalh, gw sampe mimpi ,gak keterima. deg deg setiap harus tpi gk dpt e-mail apa. 😪",dahalh mimpi terima deg deg email
416,@ryanh_aldebaran sotau,sotau
417,@dekara.ninsa nah waktu gue ikut tes CPNS banyak kasus yang gak lolos administrasi tapi gak jelas gagal dimana. Pas di cek lah ada pemalsuan dokumen. Kata gue untung aja gak kena jeratan hukum 😂,tes cpns lolos administrasi gagal mana pas cek palsu dokumen untung kena jerat hukum
418,@bro.swryz btw ente pernah ikut seleksi pemerintah gak? Serius nanya,ngomong-ngomong ente seleksi perintah serius
419,"@bro.swryz ikut, kenapa?",
420,@_andrieseprian sabarrrr😢😢,sabarrrr
421,Ada yang sama nggak dengan aku udah offering dari tanggal 6 tapi sampai sekarang belum ada invite group atau informasi selanjutnya gimana  padahal aku magang di luar kota.Mohon penjelasannya min🙏 @magangmerdeka,offering tanggal invite group informasi magang kotamohon jelas
422,"Send you hug kak😢, gue juga, ga ikhlas gue, msib 4 bener2 gue siapin mateng2, udh tes tulis smpe interview 2 mitra, eh berkas gue ga eligible, langsung lemes gue, udh fighter sejak msib 2 sampe sekarang, yg msib 4 ngarep banget gue kak, tp kek gini, smt depan udh gabisa Krn gue udh lulus, yaudahh lahyaaa mo gimana",send you hug ikhlas msib benar siapin mateng2 tes tulis interview mitra eh berkas eligible langsung lemes fighter msib msib harap banget kayak smt enggak bisa lulus yaudahh lahyaaa
423,"@dekara.ninsa Kalau keterangan dari msib dan dr kampus, Banding itu bukan revisi tapi recheck ulang dokumen, jd yg diunggah itu dokumen yg sama dengan di platform. Justru katanya kalau berusaha merevisi dokumen bakalan di blacklist",terang msib kampus banding revisi recheck ulang dokumen unggah dokumen platform usaha revisi dokumen blacklist
424,"@denifebriansyh iya kak, bebal bgt tuh mereka, gue sejak batch 2 smpe skrg belum kesempatan ya Krn pihak msib kaya selalu tutup mata tutup telinga. Gak sigap nginfoin, terkesan seadanya dan ga profesional. Web nya pun gitu gabisa buat tinjau berkas.",bebal banget tuh batch sempat msib kayak tutup mata tutup telinga sigap nginfoin kes ada profesional web enggak bisa tinjau berkas
425,"@andir1_ ngga kak memang masih proses tadi pagi ada balasan email dari kampus merdeka kalau proses seleksi MSIB masih berlangsung, dsrh menunggu dlu🙏🏻",proses pagi balas email kampus merdeka proses seleksi msib dsrh tunggu
426,@bro.swryz dia ngerubah isi doc ga bro? Biasanya dia tau salahnya dimana. Makanya reupload ulang.,ngerubah isi doc saudara laki salah mana reupload ulang
427,berarti proses seleksi ga tranparan dong? klo pihak kampus merdeka udh nyeleksi dan mengadakan aju banding berkas kenapa ga disebar secara merata dan penutupan aju banding cepet dari tanggal pembukaan? banyak temen temen yg lain bilang ini permasalahan dari batch 1 sampe skrng dan ga berubah dari dulu,proses seleksi tranparan kampus merdeka nyeleksi ada aju banding berkas sebar rata tutup aju banding cepat tanggal buka teman teman bilang masalah batch ubah
428,@j.ilhamp itu gk llus bro. Kbtulan ini thun ke 2 gw ikut tpi masih sama jga dgn thum sblmnya,llus saudara laki kbtulan thum
429,"@adhlslsa itu ditolak, kak",tolak
